station_name;station_id;visibility_distance;visibility_distance_quality;wind_direction;wind_direction_quality;wind_speed_avg;wind_speed_avg_quality;wind_speed_sign;wind_speed_max;wind_speed_max_quality;wind_speed_max_sign;precipitation_amount;precipitation_amount_quality;temperature_ground;temperature_ground_quality;temperature_air;temperature_air_quality;humidity;humidity_quality;time
ARSENEV;4433331;;5;0;0;0;0;;3;0;;;5;-34.6;0;-25.9;0;86;0;1987-02-04 21:00:00
ARSENEV;4433331;;5;220;0;1;0;;4;0;;;5;-34.5;0;-25.3;0;78;0;1987-02-04 18:00:00
ARSENEV;4433331;;5;0;0;0;0;;3;0;;;5;-34.5;0;-23.9;0;68;0;1987-02-04 15:00:00
ARSENEV;4433331;;5;210;0;2;0;;4;0;;;5;-14.4;0;-8.5;0;45;0;1987-02-04 12:00:00
ARSENEV;4433331;98;0;210;0;3;0;;4;0;;;5;-6.2;0;-5.6;0;37;0;1987-02-04 09:00:00
ARSENEV;4433331;98;0;240;0;2;0;;4;0;;;5;-8.5;0;-12.3;0;52;0;1987-02-04 06:00:00
ARSENEV;4433331;97;0;0;0;0;0;;2;0;;;5;-29;0;-23.2;0;86;0;1987-02-04 03:00:00
ARSENEV;4433331;;5;0;0;0;0;;2;0;;;5;-35;0;-26.2;0;86;0;1987-02-04 00:00:00
ARSENEV;4433331;;5;60;0;2;0;;5;0;;;5;-26.1;0;-20.1;0;75;0;1987-02-03 21:00:00
ARSENEV;4433331;;5;60;0;4;0;;9;0;;;5;-21;0;-16.6;0;61;0;1987-02-03 18:00:00
ARSENEV;4433331;;5;60;0;5;0;;8;0;;;5;-16.5;0;-13.1;0;57;0;1987-02-03 15:00:00
ARSENEV;4433331;;5;270;0;1;0;;3;0;;;5;-29.9;0;-17.3;0;48;0;1987-02-03 12:00:00
ARSENEV;4433331;98;0;210;0;2;0;;3;0;;;5;-11.8;0;-13.7;0;47;0;1987-02-03 09:00:00
ARSENEV;4433331;98;0;290;0;2;0;;3;0;;;5;-14.8;0;-18.4;0;70;0;1987-02-03 06:00:00
ARSENEV;4433331;97;0;250;0;1;0;;3;0;;;5;-31;0;-26;0;88;0;1987-02-03 03:00:00
ARSENEV;4433331;;5;220;0;1;0;;3;0;;;5;-35;0;-25.7;0;87;0;1987-02-03 00:00:00
ARSENEV;4433331;;5;0;0;0;0;;2;0;;;5;-30.7;0;-22;0;85;0;1987-02-02 21:00:00
ARSENEV;4433331;;5;0;0;0;0;;4;0;;;5;-31.8;0;-21.8;0;81;0;1987-02-02 18:00:00
ARSENEV;4433331;;5;90;0;1;0;;3;0;;;5;-31.5;0;-19.1;0;71;0;1987-02-02 15:00:00
ARSENEV;4433331;;5;65;0;5;0;;8;0;;;5;-12.5;0;-10.7;0;48;0;1987-02-02 12:00:00
ARSENEV;4433331;98;0;60;0;5;0;;9;0;;;5;-9.6;0;-10.8;0;49;0;1987-02-02 09:00:00
ARSENEV;4433331;98;0;40;0;4;0;;7;0;;;5;-11.4;0;-13.4;0;57;0;1987-02-02 06:00:00
