Месяц.год;Расход    ;День ;День ;Число;Расход    ;День ;День ;Число;
         ;минимал.  ;1-й  ;посл.;случ.;максимал. ;1-й  ;посл.;случ.;
01.2009  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
02.2009  ;          ;01   ;28   ;28   ;          ;01   ;28   ;28   ;
03.2009  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
04.2009  ;          ;01   ;03   ;03   ;    22.900;13   ;     ;01   ;
05.2009  ;     1.520;10   ;16   ;07   ;     2.530;01   ;25   ;06   ;
06.2009  ;     1.520;12   ;16   ;05   ;     2.620;24   ;29   ;02   ;
07.2009  ;     1.000;28   ;31   ;04   ;     2.450;01   ;13   ;03   ;
08.2009  ;     0.870;05   ;07   ;03   ;     1.770;15   ;17   ;03   ;
09.2009  ;     0.750;18   ;     ;01   ;     1.130;01   ;03   ;03   ;
10.2009  ;     0.410;31   ;     ;01   ;     0.860;01   ;02   ;02   ;
11.2009  ;     0.033;30   ;     ;01   ;     0.400;01   ;     ;01   ;
12.2009  ;          ;03   ;31   ;29   ;     0.022;01   ;     ;01   ;
