Дата      ;Уровень;Уровень;Уровень;Темпер.;КСВО          ;
          ;средний;миним. ;максим.;средняя;              ;
01.08.2016;       ;       ;       ;       ; 0            ;
02.08.2016;       ;       ;       ;       ; 0            ;
03.08.2016;       ;       ;       ;       ; 0            ;
04.08.2016;       ;       ;       ;       ; 0            ;
05.08.2016;       ;       ;       ;       ; 0            ;
06.08.2016;       ;       ;       ;       ; 0            ;
07.08.2016;       ;       ;       ;       ; 0            ;
08.08.2016;       ;       ;       ;       ; 0            ;
09.08.2016;       ;       ;       ;       ; 0            ;
10.08.2016;       ;       ;       ;       ; 0            ;
11.08.2016;       ;       ;       ;       ; 0            ;
12.08.2016;       ;       ;       ;       ; 0            ;
13.08.2016;       ;       ;       ;       ; 0            ;
14.08.2016;       ;       ;       ;       ; 0            ;
15.08.2016;       ;       ;       ;       ; 0            ;
16.08.2016;       ;       ;       ;       ; 0            ;
17.08.2016;       ;       ;       ;       ; 0            ;
18.08.2016;       ;       ;       ;       ; 0            ;
19.08.2016;       ;       ;       ;       ; 0            ;
20.08.2016;       ;       ;       ;       ; 0            ;
21.08.2016;       ;       ;       ;       ; 0            ;
22.08.2016;       ;       ;       ;       ; 0            ;
23.08.2016;       ;       ;       ;       ; 0            ;
24.08.2016;       ;       ;       ;       ; 0            ;
25.08.2016;       ;       ;       ;       ; 0            ;
26.08.2016;       ;       ;       ;       ; 0            ;
27.08.2016;       ;       ;       ;       ; 0            ;
28.08.2016;       ;       ;       ;       ; 0            ;
29.08.2016;       ;       ;       ;       ; 0            ;
30.08.2016; 616   ; 616   ; 616   ;17.00  ;29            ;
31.08.2016; 613   ; 609   ; 616   ;16.50  ;29            ;
01.09.2016; 595   ; 593   ; 597   ;18.00                 ;
02.09.2016; 582   ; 579   ; 585   ;17.50                 ;
03.09.2016; 570   ; 566   ; 573   ;18.00                 ;
04.09.2016; 557   ; 554   ; 559   ;19.50                 ;
05.09.2016; 547   ; 542   ; 551   ;18.30                 ;
06.09.2016; 544   ; 542   ; 545   ;19.00                 ;
07.09.2016; 554   ; 551   ; 556   ;18.50                 ;
08.09.2016; 566   ; 563   ; 568   ;18.80                 ;
09.09.2016; 572   ; 572   ; 572   ;17.30                 ;
10.09.2016; 569   ; 567   ; 570   ;16.00                 ;
11.09.2016; 562   ; 560   ; 563   ;15.80                 ;
12.09.2016; 554   ; 551   ; 556   ;14.80                 ;
13.09.2016; 545   ; 543   ; 546   ;16.00                 ;
14.09.2016; 545   ; 544   ; 545   ;17.00                 ;
15.09.2016; 547   ; 547   ; 547   ;16.50                 ;
16.09.2016; 553   ; 547   ; 558   ;15.30                 ;
17.09.2016; 570   ; 570   ; 570   ;14.50                 ;
18.09.2016; 568   ; 566   ; 569   ;14.80                 ;
19.09.2016; 570   ; 569   ; 570   ;13.50                 ;
20.09.2016; 573   ; 573   ; 573   ;13.50                 ;
21.09.2016; 573   ; 572   ; 574   ;13.30                 ;
22.09.2016; 572   ; 572   ; 572   ;13.80                 ;
23.09.2016; 574   ; 573   ; 574   ;14.50                 ;
24.09.2016; 577   ; 577   ; 577   ;15.30                 ;
25.09.2016; 574   ; 574   ; 574   ;13.30                 ;
26.09.2016; 574   ; 574   ; 574   ;14.00                 ;
27.09.2016; 577   ; 575   ; 579   ;13.50                 ;
28.09.2016; 573   ; 572   ; 574   ;12.80                 ;
29.09.2016; 564   ; 563   ; 564   ;11.80                 ;
30.09.2016; 560   ; 558   ; 561   ;11.30                 ;
01.10.2016; 557   ; 556   ; 558   ;11.50                 ;
02.10.2016; 546   ; 543   ; 548   ;12.30                 ;
03.10.2016; 543   ; 543   ; 543   ;11.00                 ;
04.10.2016; 538   ; 533   ; 543   ; 8.80                 ;
05.10.2016; 526   ; 523   ; 528   ; 8.80                 ;
06.10.2016; 513   ; 510   ; 515   ; 6.30                 ;
07.10.2016; 502   ; 499   ; 505   ; 6.00                 ;
08.10.2016; 499   ; 499   ; 499   ; 5.00                 ;
09.10.2016; 499   ; 499   ; 499   ; 4.80                 ;
10.10.2016; 495   ; 495   ; 495   ; 4.80                 ;
11.10.2016; 493   ; 490   ; 495   ; 4.30                 ;
12.10.2016; 490   ; 490   ; 490   ; 4.30                 ;
13.10.2016; 476   ; 462   ; 490   ; 4.80                 ;
14.10.2016; 459   ; 456   ; 462   ; 5.00                 ;
15.10.2016; 452   ; 452   ; 452   ; 5.00                 ;
16.10.2016; 448   ; 446   ; 450   ; 5.00                 ;
17.10.2016; 438   ; 432   ; 443   ; 4.80                 ;
18.10.2016; 423   ; 414   ; 432   ; 4.30                 ;
19.10.2016; 414   ; 414   ; 414   ; 4.30                 ;
20.10.2016; 414   ; 414   ; 414   ; 3.30                 ;
21.10.2016; 416   ; 414   ; 417   ; 1.80                 ;
22.10.2016; 417   ; 417   ; 417   ; 2.30                 ;
23.10.2016; 413   ; 411   ; 414   ; 1.80                 ;
24.10.2016; 411   ; 411   ; 411   ; 1.30                 ;
25.10.2016; 410   ; 409   ; 411   ; 1.30                 ;
26.10.2016; 406   ; 402   ; 409   ; 1.30                 ;
27.10.2016; 403   ; 402   ; 404   ; 1.00                 ;
28.10.2016; 404   ; 404   ; 404   ; 1.00                 ;
29.10.2016; 404   ; 404   ; 404   ; 1.00                 ;
30.10.2016; 410   ; 408   ; 411   ; 1.00                 ;
31.10.2016; 411   ; 411   ; 411   ; 1.00                 ;
01.11.2016; 408   ; 404   ; 411   ;                      ;
02.11.2016; 404   ; 404   ; 404   ;                      ;
03.11.2016; 403   ; 401   ; 404   ;                      ;
04.11.2016; 400   ; 399   ; 401   ;                      ;
05.11.2016; 397   ; 396   ; 398   ;                      ;
06.11.2016; 395   ; 394   ; 395   ;                      ;
07.11.2016; 393   ; 392   ; 394   ;                      ;
08.11.2016; 392   ; 391   ; 392   ;                      ;
09.11.2016; 391   ; 391   ; 391   ;                      ;
10.11.2016; 390   ; 389   ; 391   ;                      ;
11.11.2016; 390   ; 389   ; 391   ;                      ;
12.11.2016; 394   ; 393   ; 394   ;                      ;
13.11.2016; 394   ; 394   ; 394   ;                      ;
14.11.2016; 394   ; 394   ; 394   ;                      ;
15.11.2016; 394   ; 393   ; 394   ;                      ;
16.11.2016; 392   ; 392   ; 392   ;                      ;
17.11.2016; 392   ; 391   ; 392   ;                      ;
18.11.2016; 390   ; 388   ; 391   ;                      ;
19.11.2016; 388   ; 386   ; 389   ;                      ;
20.11.2016; 394   ; 392   ; 396   ;                      ;
