Дата      ;Толщина;Высота ;Место  ;
          ;льда   ;снега  ;измер. ;
05.01.2000; 71    ; 17    ;01     ;
10.01.2000; 76    ; 38    ;01     ;
15.01.2000; 82    ; 31    ;01     ;
20.01.2000; 95    ; 26    ;01     ;
25.01.2000;100    ; 23    ;01     ;
31.01.2000;102    ; 19    ;01     ;
05.02.2000;105    ; 16    ;01     ;
10.02.2000;106    ; 15    ;01     ;
15.02.2000;107    ; 15    ;01     ;
20.02.2000;107    ; 15    ;01     ;
25.02.2000;108    ; 14    ;01     ;
29.02.2000;110    ; 13    ;01     ;
05.03.2000;106    ; 23    ;01     ;
10.03.2000;104    ; 31    ;01     ;
15.03.2000;102    ; 27    ;01     ;
20.03.2000;101    ; 26    ;01     ;
25.03.2000;100    ; 23    ;01     ;
31.03.2000;100    ; 21    ;01     ;
05.04.2000; 96    ; 13    ;01     ;
10.04.2000;       ;       ;01     ;
15.04.2000;       ;       ;01     ;
20.11.2000; 24    ;  0    ;01     ;
25.11.2000; 29    ;  0    ;01     ;
30.11.2000; 32    ;  0    ;01     ;
05.12.2000; 35    ;  0    ;01     ;
10.12.2000; 38    ;  0    ;01     ;
15.12.2000; 43    ;  0    ;01     ;
20.12.2000; 46    ;  0    ;01     ;
25.12.2000; 50    ;  1    ;01     ;
31.12.2000; 59    ;  1    ;01     ;
05.01.2001; 66    ; 16    ;01     ;
10.01.2001; 80    ; 16    ;01     ;
15.01.2001; 92    ; 18    ;01     ;
20.01.2001;101    ; 21    ;01     ;
25.01.2001;108    ; 19    ;01     ;
31.01.2001;114    ; 21    ;01     ;
05.02.2001;117    ; 25    ;01     ;
10.02.2001;120    ; 21    ;01     ;
15.02.2001;123    ; 21    ;01     ;
20.02.2001;127    ; 23    ;01     ;
25.02.2001;131    ; 22    ;01     ;
28.02.2001;133    ; 29    ;01     ;
05.04.2001;       ;       ;01     ;
10.04.2001;       ;       ;01     ;
15.04.2001;       ;       ;01     ;
20.04.2001;       ;       ;01     ;
15.11.2001;       ;       ;01     ;
20.11.2001;       ;       ;01     ;
25.11.2001;       ;       ;01     ;
30.11.2001;       ;       ;01     ;
05.12.2001; 45    ;  1    ;01     ;
10.12.2001; 54    ;  1    ;01     ;
15.12.2001; 60    ;  2    ;01     ;
20.12.2001; 66    ;  2    ;01     ;
25.12.2001; 73    ;  2    ;01     ;
31.12.2001; 75    ;  2    ;01     ;
05.01.2002; 76    ;  2    ;01     ;
10.01.2002; 81    ;  4    ;01     ;
15.01.2002; 87    ; 10    ;01     ;
20.01.2002; 93    ;  8    ;01     ;
25.01.2002; 94    ; 12    ;01     ;
31.01.2002; 98    ; 10    ;01     ;
05.02.2002; 98    ;  3    ;01     ;
10.02.2002; 99    ;  3    ;01     ;
15.02.2002;100    ;  3    ;01     ;
20.02.2002;100    ;  3    ;01     ;
25.02.2002;103    ;  2    ;01     ;
28.02.2002;103    ;  2    ;01     ;
05.03.2002;104    ;  2    ;01     ;
10.03.2002;108    ;  1    ;01     ;
15.03.2002;110    ;  1    ;01     ;
20.03.2002;110    ;       ;01     ;
25.03.2002;115    ;  0    ;01     ;
31.03.2002;118    ;       ;01     ;
05.04.2002;       ;       ;01     ;
10.04.2002;       ;       ;01     ;
15.04.2002;       ;       ;01     ;
15.11.2002; 10    ;       ;01     ;
20.11.2002; 14    ;       ;01     ;
25.11.2002; 21    ;       ;01     ;
30.11.2002; 28    ;  2    ;01     ;
05.12.2002; 34    ;  5    ;01     ;
10.12.2002; 41    ; 10    ;01     ;
15.12.2002; 69    ; 10    ;01     ;
20.12.2002; 72    ; 10    ;01     ;
25.12.2002; 75    ; 10    ;01     ;
31.12.2002; 88    ; 10    ;01     ;
05.01.2003; 99    ; 10    ;01     ;
10.01.2003;102    ; 10    ;01     ;
15.01.2003;109    ; 10    ;01     ;
20.01.2003;112    ; 10    ;01     ;
25.01.2003;116    ; 10    ;01     ;
31.01.2003;119    ; 12    ;01     ;
05.02.2003;120    ; 11    ;01     ;
10.02.2003;125    ; 12    ;01     ;
15.02.2003;126    ; 12    ;01     ;
20.02.2003;128    ; 11    ;01     ;
25.02.2003;128    ; 10    ;01     ;
28.02.2003;128    ; 10    ;01     ;
05.03.2003;129    ;  9    ;01     ;
10.03.2003;136    ;  7    ;01     ;
15.03.2003;136    ;  5    ;01     ;
20.03.2003;136    ;  1    ;01     ;
25.03.2003;       ;       ;01     ;
31.03.2003;       ;       ;01     ;
05.04.2003;       ;       ;01     ;
10.04.2003;       ;       ;01     ;
10.11.2003;       ;       ;01     ;
15.11.2003;       ;       ;01     ;
20.11.2003;       ;       ;01     ;
25.11.2003; 30    ; 13    ;01     ;
30.11.2003; 34    ; 18    ;01     ;
05.12.2003; 39    ; 22    ;01     ;
10.12.2003; 47    ; 21    ;01     ;
15.12.2003; 49    ; 17    ;01     ;
20.12.2003; 51    ; 15    ;01     ;
25.12.2003; 57    ; 15    ;01     ;
31.12.2003; 63    ; 14    ;01     ;
05.01.2004; 64    ;  9    ;01     ;
10.01.2004; 69    ; 10    ;01     ;
15.01.2004; 87    ;  8    ;01     ;
20.01.2004; 89    ; 10    ;01     ;
25.01.2004; 90    ; 14    ;01     ;
31.01.2004; 98    ; 13    ;01     ;
05.02.2004; 98    ; 15    ;01     ;
10.02.2004;101    ; 14    ;01     ;
15.02.2004;109    ; 18    ;01     ;
20.02.2004;110    ; 16    ;01     ;
25.02.2004;112    ; 16    ;01     ;
29.02.2004;117    ; 18    ;01     ;
05.03.2004;118    ; 14    ;01     ;
10.03.2004;116    ; 17    ;01     ;
15.03.2004;115    ; 18    ;01     ;
20.03.2004;113    ; 19    ;01     ;
25.03.2004;111    ; 11    ;01     ;
31.03.2004;111    ; 15    ;01     ;
05.04.2004;       ;       ;01     ;
10.04.2004;       ;       ;01     ;
15.04.2004;       ;       ;01     ;
30.11.2004;       ;       ;01     ;
05.12.2004; 31    ;  5    ;01     ;
10.12.2004; 37    ; 13    ;01     ;
15.12.2004; 44    ; 13    ;01     ;
20.12.2004; 58    ; 12    ;01     ;
25.12.2004; 74    ; 12    ;01     ;
31.12.2004; 92    ;  9    ;01     ;
05.01.2005; 87    ;  4    ;01     ;
10.01.2005; 87    ;  5    ;01     ;
15.01.2005; 89    ;  4    ;01     ;
20.01.2005; 88    ;  4    ;01     ;
25.01.2005; 89    ;  5    ;01     ;
31.01.2005; 89    ;  5    ;01     ;
05.02.2005; 84    ;  4    ;01     ;
10.02.2005; 86    ;  4    ;01     ;
15.02.2005; 87    ;  4    ;01     ;
20.02.2005; 86    ; 16    ;01     ;
25.02.2005; 90    ; 15    ;01     ;
28.02.2005; 90    ; 15    ;01     ;
05.03.2005;101    ;  5    ;01     ;
10.03.2005;102    ;  5    ;01     ;
15.03.2005;103    ;  3    ;01     ;
20.03.2005;103    ;  3    ;01     ;
25.03.2005;102    ;  4    ;01     ;
31.03.2005;101    ;       ;01     ;
05.04.2005; 98    ;  4    ;01     ;
10.04.2005; 94    ;  6    ;01     ;
15.04.2005;       ;       ;01     ;
20.04.2005;       ;       ;01     ;
15.11.2005;       ;       ;01     ;
20.11.2005; 11    ;       ;01     ;
25.11.2005; 28    ;  6    ;01     ;
30.11.2005; 30    ;  5    ;01     ;
05.12.2005; 34    ;  3    ;01     ;
10.12.2005; 47    ;  6    ;01     ;
15.12.2005; 50    ;  4    ;01     ;
20.12.2005; 53    ;  6    ;01     ;
25.12.2005; 69    ;  4    ;01     ;
31.12.2005; 67    ;  4    ;01     ;
05.01.2006; 69    ;  5    ;01     ;
10.01.2006; 70    ;  5    ;01     ;
15.01.2006; 73    ;  9    ;01     ;
20.01.2006; 77    ;  9    ;01     ;
25.01.2006; 82    ;  8    ;01     ;
31.01.2006; 84    ; 13    ;01     ;
05.02.2006; 87    ; 13    ;01     ;
10.02.2006; 89    ;  8    ;01     ;
15.02.2006; 98    ;  8    ;01     ;
20.02.2006;102    ;  9    ;01     ;
25.02.2006;103    ; 13    ;01     ;
28.02.2006;105    ; 10    ;01     ;
05.03.2006;106    ;  9    ;01     ;
10.03.2006;108    ; 15    ;01     ;
15.03.2006;108    ; 15    ;01     ;
20.03.2006;111    ;  5    ;01     ;
25.03.2006;113    ;  5    ;01     ;
31.03.2006;113    ;       ;01     ;
05.04.2006;       ;       ;01     ;
10.04.2006;       ;       ;01     ;
15.04.2006;       ;       ;01     ;
20.04.2006;       ;       ;01     ;
15.11.2006;       ;       ;01     ;
20.11.2006; 14    ;  7    ;01     ;
25.11.2006; 19    ;  9    ;01     ;
30.11.2006; 27    ;  8    ;01     ;
05.12.2006; 49    ;  7    ;01     ;
10.12.2006; 52    ;  7    ;01     ;
15.12.2006; 58    ;  9    ;01     ;
20.12.2006; 67    ;  8    ;01     ;
25.12.2006; 71    ;  9    ;01     ;
31.12.2006; 74    ;  8    ;01     ;
05.01.2007; 76    ;  7    ;01     ;
10.01.2007; 77    ;  5    ;01     ;
15.01.2007; 82    ;  5    ;01     ;
20.01.2007; 84    ;  4    ;01     ;
25.01.2007; 88    ;  3    ;01     ;
31.01.2007; 95    ; 11    ;01     ;
05.02.2007;100    ;  8    ;01     ;
10.02.2007;101    ;  5    ;01     ;
15.02.2007;103    ; 24    ;01     ;
20.02.2007;107    ; 19    ;01     ;
25.02.2007;110    ; 10    ;01     ;
28.02.2007;110    ; 10    ;01     ;
05.03.2007;114    ; 10    ;01     ;
