Месяц.год;Расход    ;День ;День ;Число;Расход    ;День ;День ;Число;
         ;минимал.  ;1-й  ;посл.;случ.;максимал. ;1-й  ;посл.;случ.;
01.2000  ;   858.000;09   ;10   ;02   ;  1130.000;01   ;     ;01   ;
02.2000  ;   752.000;18   ;     ;01   ;   998.000;01   ;     ;01   ;
03.2000  ;   731.000;26   ;     ;01   ;  1030.000;05   ;16   ;03   ;
04.2000  ;   884.000;01   ;     ;01   ;  4150.000;30   ;     ;01   ;
05.2000  ;  1550.000;26   ;     ;01   ;  3520.000;01   ;     ;01   ;
06.2000  ;  1230.000;23   ;     ;01   ;  2780.000;01   ;     ;01   ;
07.2000  ;  1630.000;01   ;     ;01   ;  2970.000;11   ;     ;01   ;
08.2000  ;  1660.000;31   ;     ;01   ;  3180.000;04   ;     ;01   ;
09.2000  ;  1480.000;29   ;     ;01   ;  2410.000;11   ;     ;01   ;
10.2000  ;  1060.000;31   ;     ;01   ;  1730.000;02   ;03   ;02   ;
11.2000  ;   703.000;14   ;     ;01   ;  1340.000;30   ;     ;01   ;
12.2000  ;  1250.000;24   ;     ;01   ;  1530.000;06   ;     ;01   ;
01.2001  ;  1320.000;03   ;     ;01   ;  1550.000;22   ;     ;01   ;
02.2001  ;  1330.000;04   ;15   ;02   ;  1590.000;22   ;     ;01   ;
03.2001  ;   803.000;31   ;     ;01   ;  1490.000;04   ;     ;01   ;
04.2001  ;   759.000;08   ;     ;01   ;  1670.000;30   ;     ;01   ;
05.2001  ;  1260.000;02   ;     ;01   ;  3150.000;28   ;     ;01   ;
06.2001  ;  1220.000;28   ;29   ;02   ;  4610.000;12   ;     ;01   ;
07.2001  ;  1120.000;13   ;     ;01   ;  2380.000;27   ;     ;01   ;
08.2001  ;  1330.000;09   ;10   ;02   ;  3550.000;13   ;     ;01   ;
09.2001  ;  1300.000;08   ;     ;01   ;  1730.000;13   ;     ;01   ;
10.2001  ;  1110.000;27   ;28   ;02   ;  1450.000;02   ;03   ;02   ;
11.2001  ;   704.000;25   ;     ;01   ;  1050.000;01   ;     ;01   ;
12.2001  ;   596.000;31   ;     ;01   ;   798.000;08   ;     ;01   ;
01.2002  ;   512.000;07   ;     ;01   ;   720.000;23   ;     ;01   ;
02.2002  ;   543.000;27   ;28   ;02   ;   700.000;17   ;     ;01   ;
03.2002  ;   454.000;31   ;     ;01   ;   597.000;18   ;     ;01   ;
04.2002  ;   470.000;01   ;     ;01   ;  1540.000;29   ;     ;01   ;
05.2002  ;  1400.000;01   ;     ;01   ;  2870.000;18   ;     ;01   ;
06.2002  ;  1330.000;22   ;     ;01   ;  3120.000;04   ;     ;01   ;
07.2002  ;  1310.000;04   ;     ;01   ;  2750.000;16   ;     ;01   ;
08.2002  ;  1500.000;30   ;31   ;02   ;  3600.000;10   ;     ;01   ;
09.2002  ;  1510.000;27   ;     ;01   ;  3320.000;09   ;     ;01   ;
10.2002  ;   847.000;31   ;     ;01   ;  1510.000;01   ;     ;01   ;
11.2002  ;   523.000;14   ;     ;01   ;   788.000;06   ;     ;01   ;
12.2002  ;   583.000;25   ;     ;01   ;   748.000;13   ;15   ;02   ;
01.2003  ;   445.000;14   ;15   ;02   ;   587.000;01   ;     ;01   ;
02.2003  ;   532.000;01   ;     ;01   ;   708.000;21   ;     ;01   ;
03.2003  ;   365.000;28   ;29   ;02   ;   581.000;06   ;     ;01   ;
04.2003  ;   393.000;01   ;     ;01   ;  1510.000;30   ;     ;01   ;
05.2003  ;   966.000;17   ;     ;01   ;  2710.000;31   ;     ;01   ;
06.2003  ;  1660.000;21   ;22   ;02   ;  4490.000;05   ;     ;01   ;
07.2003  ;  2540.000;03   ;     ;01   ;  5240.000;16   ;     ;01   ;
