Месяц.год;Расход    ;День ;День ;Число;Расход    ;День ;День ;Число;
         ;минимал.  ;1-й  ;посл.;случ.;максимал. ;1-й  ;посл.;случ.;
01.2000  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
02.2000  ;          ;01   ;29   ;29   ;          ;01   ;29   ;29   ;
03.2000  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
04.2000  ;          ;01   ;10   ;10   ;     9.890;17   ;18   ;02   ;
05.2000  ;     1.490;31   ;     ;01   ;     5.890;01   ;     ;01   ;
06.2000  ;     0.710;20   ;24   ;05   ;     1.450;01   ;     ;01   ;
07.2000  ;     0.680;15   ;20   ;06   ;     2.500;31   ;     ;01   ;
08.2000  ;     1.420;22   ;24   ;03   ;     2.950;02   ;03   ;02   ;
09.2000  ;     1.420;22   ;24   ;03   ;     2.370;26   ;27   ;02   ;
10.2000  ;     1.120;28   ;     ;01   ;     2.200;12   ;14   ;03   ;
11.2000  ;     0.068;30   ;     ;01   ;     1.320;04   ;     ;01   ;
12.2000  ;          ;02   ;31   ;30   ;     0.034;01   ;     ;01   ;
01.2001  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
02.2001  ;          ;01   ;28   ;28   ;          ;01   ;28   ;28   ;
03.2001  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
04.2001  ;          ;01   ;03   ;03   ;     6.740;13   ;     ;01   ;
05.2001  ;     2.040;30   ;31   ;02   ;    13.300;12   ;13   ;02   ;
06.2001  ;     1.260;25   ;26   ;02   ;     2.720;06   ;08   ;02   ;
07.2001  ;     1.200;31   ;     ;01   ;     1.820;14   ;16   ;03   ;
08.2001  ;     1.120;17   ;20   ;04   ;     1.530;10   ;     ;01   ;
09.2001  ;     0.910;20   ;25   ;06   ;     1.020;01   ;11   ;07   ;
10.2001  ;     0.980;31   ;     ;01   ;     1.690;17   ;18   ;02   ;
11.2001  ;     0.470;28   ;30   ;03   ;     0.890;01   ;     ;01   ;
12.2001  ;          ;13   ;31   ;19   ;     0.470;01   ;03   ;03   ;
01.2002  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
02.2002  ;          ;01   ;28   ;28   ;          ;01   ;28   ;28   ;
03.2002  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
04.2002  ;          ;01   ;03   ;03   ;     2.130;08   ;     ;01   ;
05.2002  ;     0.910;05   ;     ;01   ;     2.790;09   ;     ;01   ;
06.2002  ;     1.160;16   ;17   ;02   ;     2.540;01   ;     ;01   ;
07.2002  ;     0.970;11   ;     ;01   ;     1.580;14   ;15   ;02   ;
08.2002  ;     0.830;06   ;     ;01   ;     4.470;06   ;     ;01   ;
09.2002  ;     0.830;01   ;     ;01   ;     1.240;05   ;10   ;03   ;
10.2002  ;     0.810;31   ;     ;01   ;     1.620;14   ;15   ;02   ;
11.2002  ;     0.330;30   ;     ;01   ;     0.780;01   ;     ;01   ;
12.2002  ;          ;21   ;31   ;11   ;     0.310;01   ;     ;01   ;
01.2003  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
02.2003  ;          ;01   ;28   ;28   ;          ;01   ;28   ;28   ;
03.2003  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
04.2003  ;          ;01   ;03   ;03   ;     1.780;15   ;     ;01   ;
05.2003  ;     0.590;08   ;     ;01   ;     2.100;31   ;     ;01   ;
06.2003  ;     1.070;20   ;22   ;03   ;     2.390;29   ;     ;01   ;
07.2003  ;     1.910;01   ;02   ;02   ;    22.800;20   ;21   ;02   ;
08.2003  ;     4.350;31   ;     ;01   ;    16.600;02   ;03   ;02   ;
09.2003  ;     2.520;08   ;     ;01   ;     7.590;23   ;24   ;02   ;
10.2003  ;     1.180;31   ;     ;01   ;     4.000;01   ;     ;01   ;
11.2003  ;     0.900;20   ;     ;01   ;     1.080;01   ;     ;01   ;
12.2003  ;     0.290;31   ;     ;01   ;     1.000;02   ;     ;01   ;
01.2004  ;          ;21   ;31   ;11   ;     0.280;01   ;     ;01   ;
02.2004  ;          ;01   ;29   ;29   ;          ;01   ;29   ;29   ;
03.2004  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
04.2004  ;          ;01   ;04   ;04   ;    24.500;21   ;23   ;03   ;
05.2004  ;     5.420;31   ;     ;01   ;    19.800;01   ;     ;01   ;
06.2004  ;     1.560;26   ;27   ;02   ;     5.060;01   ;     ;01   ;
07.2004  ;     1.180;17   ;19   ;03   ;     2.540;24   ;25   ;02   ;
08.2004  ;     1.190;25   ;28   ;04   ;     3.390;31   ;     ;01   ;
09.2004  ;     1.820;29   ;     ;01   ;     4.640;03   ;04   ;02   ;
10.2004  ;     0.850;31   ;     ;01   ;     2.050;01   ;02   ;02   ;
11.2004  ;     0.390;30   ;     ;01   ;     0.810;01   ;     ;01   ;
12.2004  ;     0.370;31   ;     ;01   ;     0.440;15   ;16   ;02   ;
01.2005  ;          ;21   ;31   ;11   ;     0.360;01   ;     ;01   ;
02.2005  ;          ;01   ;28   ;28   ;          ;01   ;28   ;28   ;
03.2005  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
04.2005  ;          ;01   ;04   ;04   ;    15.300;24   ;     ;01   ;
05.2005  ;     2.940;28   ;29   ;02   ;    11.800;07   ;     ;01   ;
06.2005  ;     1.650;30   ;     ;01   ;     3.640;19   ;     ;01   ;
07.2005  ;     1.380;26   ;28   ;03   ;     3.090;05   ;06   ;02   ;
08.2005  ;     1.130;27   ;28   ;02   ;     1.520;01   ;     ;01   ;
09.2005  ;     1.130;10   ;     ;01   ;     1.340;30   ;     ;01   ;
10.2005  ;     0.920;31   ;     ;01   ;     1.450;16   ;17   ;02   ;
11.2005  ;     0.580;30   ;     ;01   ;     0.910;01   ;     ;01   ;
12.2005  ;     0.230;31   ;     ;01   ;     0.570;01   ;     ;01   ;
01.2006  ;          ;18   ;31   ;13   ;     0.220;01   ;     ;01   ;
02.2006  ;          ;01   ;28   ;28   ;          ;01   ;28   ;28   ;
03.2006  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
04.2006  ;          ;01   ;11   ;11   ;     5.680;30   ;     ;01   ;
05.2006  ;     1.180;31   ;     ;01   ;     5.000;01   ;     ;01   ;
06.2006  ;     1.150;02   ;     ;01   ;     3.440;19   ;23   ;05   ;
07.2006  ;     1.230;11   ;13   ;03   ;    10.200;26   ;27   ;02   ;
08.2006  ;     1.380;27   ;31   ;05   ;     4.350;01   ;02   ;02   ;
09.2006  ;     1.300;04   ;07   ;04   ;     1.560;18   ;19   ;02   ;
10.2006  ;     1.270;31   ;     ;01   ;     1.560;12   ;     ;01   ;
11.2006  ;     0.800;30   ;     ;01   ;     1.250;01   ;     ;01   ;
12.2006  ;     0.320;31   ;     ;01   ;     0.790;01   ;     ;01   ;
01.2007  ;          ;21   ;31   ;11   ;     0.310;01   ;     ;01   ;
02.2007  ;          ;01   ;28   ;28   ;          ;01   ;28   ;28   ;
03.2007  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
04.2007  ;          ;01   ;09   ;09   ;     4.960;17   ;     ;01   ;
05.2007  ;     2.440;08   ;     ;01   ;     3.960;27   ;28   ;02   ;
06.2007  ;     1.930;17   ;18   ;02   ;     9.320;30   ;     ;01   ;
07.2007  ;     1.660;31   ;     ;01   ;     9.640;01   ;     ;01   ;
08.2007  ;     1.450;23   ;24   ;02   ;     2.010;27   ;28   ;02   ;
09.2007  ;     1.480;16   ;17   ;02   ;     1.890;29   ;30   ;02   ;
10.2007  ;     1.280;31   ;     ;01   ;     1.820;01   ;     ;01   ;
11.2007  ;     0.290;30   ;     ;01   ;     1.230;01   ;     ;01   ;
12.2007  ;          ;21   ;31   ;11   ;     0.280;01   ;     ;01   ;
01.2008  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
02.2008  ;          ;01   ;29   ;29   ;          ;01   ;29   ;29   ;
03.2008  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
04.2008  ;          ;01   ;04   ;04   ;     1.700;22   ;     ;01   ;
05.2008  ;     1.520;01   ;     ;01   ;     3.360;31   ;     ;01   ;
06.2008  ;     1.300;25   ;27   ;03   ;     3.500;01   ;02   ;02   ;
07.2008  ;     1.240;04   ;05   ;02   ;     2.310;31   ;     ;01   ;
08.2008  ;     1.210;24   ;26   ;03   ;     2.210;01   ;     ;01   ;
09.2008  ;     1.360;04   ;06   ;03   ;     3.580;25   ;     ;01   ;
10.2008  ;     1.870;20   ;21   ;02   ;     4.330;28   ;     ;01   ;
11.2008  ;     0.360;30   ;     ;01   ;     2.780;01   ;     ;01   ;
12.2008  ;          ;28   ;31   ;04   ;     0.340;01   ;     ;01   ;
01.2009  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
02.2009  ;          ;01   ;28   ;28   ;          ;01   ;28   ;28   ;
03.2009  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
04.2009  ;          ;01   ;02   ;02   ;     4.170;11   ;     ;01   ;
05.2009  ;     0.990;28   ;30   ;03   ;     1.590;04   ;05   ;02   ;
06.2009  ;     1.170;01   ;     ;01   ;     3.310;25   ;26   ;02   ;
07.2009  ;     0.700;18   ;21   ;04   ;     1.740;01   ;     ;01   ;
08.2009  ;     0.970;01   ;     ;01   ;     2.150;08   ;24   ;02   ;
09.2009  ;     1.040;29   ;30   ;02   ;     2.050;08   ;09   ;02   ;
10.2009  ;     0.710;31   ;     ;01   ;     1.510;07   ;     ;01   ;
11.2009  ;     0.250;30   ;     ;01   ;     0.640;01   ;     ;01   ;
12.2009  ;     0.100;30   ;31   ;02   ;     0.230;01   ;     ;01   ;
01.2010  ;          ;08   ;31   ;21   ;     0.088;01   ;     ;01   ;
02.2010  ;          ;01   ;28   ;28   ;          ;01   ;28   ;28   ;
03.2010  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
04.2010  ;          ;01   ;11   ;11   ;     1.640;30   ;     ;01   ;
05.2010  ;     1.290;17   ;18   ;02   ;     1.860;23   ;24   ;02   ;
06.2010  ;     0.760;29   ;     ;01   ;     1.380;01   ;     ;01   ;
07.2010  ;     0.790;01   ;     ;01   ;    12.900;19   ;21   ;03   ;
08.2010  ;     3.620;18   ;     ;01   ;     9.070;01   ;     ;01   ;
09.2010  ;     1.200;28   ;30   ;03   ;     3.620;01   ;     ;01   ;
10.2010  ;     0.950;31   ;     ;01   ;     1.380;12   ;17   ;02   ;
11.2010  ;     0.860;30   ;     ;01   ;     0.970;28   ;     ;01   ;
12.2010  ;     0.280;31   ;     ;01   ;     0.810;01   ;     ;01   ;
01.2011  ;          ;14   ;31   ;18   ;     0.260;01   ;     ;01   ;
02.2011  ;          ;01   ;28   ;28   ;          ;01   ;28   ;28   ;
03.2011  ;          ;01   ;29   ;29   ;     1.800;31   ;     ;01   ;
04.2011  ;     1.820;30   ;     ;01   ;     6.680;07   ;     ;01   ;
05.2011  ;     1.410;09   ;     ;01   ;     3.730;31   ;     ;01   ;
06.2011  ;     1.940;30   ;     ;01   ;     6.980;07   ;08   ;02   ;
07.2011  ;     1.100;30   ;31   ;02   ;     1.900;01   ;     ;01   ;
08.2011  ;     0.940;31   ;     ;01   ;     1.860;10   ;     ;01   ;
09.2011  ;     0.900;29   ;30   ;02   ;     1.300;03   ;04   ;02   ;
10.2011  ;     0.940;01   ;10   ;04   ;     1.380;17   ;18   ;02   ;
11.2011  ;     0.570;30   ;     ;01   ;     1.360;05   ;     ;01   ;
12.2011  ;          ;28   ;31   ;04   ;     0.570;01   ;05   ;05   ;
01.2012  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
02.2012  ;          ;01   ;29   ;29   ;          ;01   ;29   ;29   ;
03.2012  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
04.2012  ;          ;01   ;16   ;16   ;     2.700;30   ;     ;01   ;
05.2012  ;     0.680;24   ;25   ;02   ;     2.780;01   ;     ;01   ;
