Дата      ;Толщина;Высота ;Место  ;
          ;льда   ;снега  ;измер. ;
10.01.1984; 47    ; 19    ;01     ;
20.01.1984; 52    ; 20    ;01     ;
31.01.1984; 54    ; 29    ;01     ;
10.02.1984; 50    ; 29    ;01     ;
20.02.1984; 52    ; 34    ;01     ;
29.02.1984; 55    ; 35    ;01     ;
10.03.1984; 62    ; 33    ;01     ;
20.03.1984; 58    ; 26    ;01     ;
31.03.1984; 51    ; 11    ;01     ;
20.11.1984; 15    ;  2    ;01     ;
30.11.1984; 27    ;  1    ;01     ;
10.12.1984; 32    ;  4    ;01     ;
20.12.1984; 47    ;  6    ;01     ;
31.12.1984; 57    ;  7    ;01     ;
10.01.1985; 73    ;  5    ;01     ;
20.01.1985; 90    ; 17    ;01     ;
20.11.1985;  4    ;  5    ;01     ;
30.11.1985; 12    ;  2    ;01     ;
10.12.1985; 37    ;  6    ;01     ;
20.12.1985; 47    ;  6    ;01     ;
31.12.1985; 56    ;  6    ;01     ;
10.01.1986;       ; 17    ;01     ;
20.01.1986;       ; 14    ;01     ;
31.01.1986;       ; 12    ;01     ;
10.02.1986;       ; 14    ;01     ;
20.02.1986;       ; 12    ;01     ;
28.02.1986;       ; 11    ;01     ;
10.03.1986;       ; 17    ;01     ;
20.03.1986;       ;  5    ;01     ;
31.10.1986;  3    ;       ;01     ;
10.11.1986;  4    ;       ;01     ;
20.11.1986; 21    ;       ;01     ;
30.11.1986; 22    ;  6    ;01     ;
10.12.1986; 31    ;  8    ;01     ;
20.12.1986; 43    ; 11    ;01     ;
31.12.1986; 46    ; 13    ;01     ;
10.01.1987; 48    ; 16    ;01     ;
20.01.1987; 51    ; 28    ;01     ;
31.01.1987; 55    ; 26    ;01     ;
10.02.1987; 59    ; 20    ;01     ;
10.03.1987;       ;  8    ;01     ;
20.11.1987; 11    ;       ;01     ;
30.11.1987; 17    ;  5    ;01     ;
10.12.1987; 25    ;  7    ;01     ;
20.12.1987; 33    ;  9    ;01     ;
31.12.1987; 37    ; 14    ;01     ;
10.01.1988; 44    ; 12    ;01     ;
20.01.1988;       ; 14    ;01     ;
31.01.1988;       ; 17    ;01     ;
10.02.1988;       ; 22    ;01     ;
20.02.1988;       ; 23    ;01     ;
29.02.1988;       ; 24    ;01     ;
10.03.1988;       ;       ;01     ;
10.11.1988;  4    ;       ;01     ;
20.11.1988; 16    ;  3    ;01     ;
30.11.1988; 19    ; 12    ;01     ;
10.12.1988; 30    ; 12    ;01     ;
20.12.1988; 35    ; 19    ;01     ;
31.12.1988; 44    ; 15    ;01     ;
10.01.1989; 49    ; 17    ;01     ;
20.01.1989; 55    ; 17    ;01     ;
31.01.1989; 56    ; 21    ;01     ;
10.02.1989; 67    ; 21    ;01     ;
20.02.1989; 73    ; 12    ;01     ;
28.02.1989; 75    ; 27    ;01     ;
10.03.1989; 75    ; 21    ;01     ;
20.11.1989;  7    ;  1    ;01     ;
30.11.1989; 18    ;  2    ;01     ;
10.12.1989; 38    ;  2    ;01     ;
20.12.1989; 44    ;  4    ;01     ;
31.12.1989; 49    ; 10    ;01     ;
10.01.1990; 57    ; 10    ;01     ;
20.01.1990; 62    ; 15    ;01     ;
31.01.1990; 70    ; 15    ;01     ;
10.02.1990; 84    ; 16    ;01     ;
20.02.1990; 89    ; 17    ;01     ;
28.02.1990; 96    ; 31    ;01     ;
10.03.1990;100    ; 10    ;01     ;
15.12.1990;  8    ;  6    ;01     ;
20.12.1990; 35    ;  8    ;01     ;
31.12.1990; 41    ; 14    ;01     ;
05.02.1991;       ;       ;01     ;
10.02.1991; 64    ; 11    ;01     ;
15.02.1991;       ;       ;01     ;
20.02.1991; 67    ; 12    ;01     ;
25.02.1991;       ;       ;01     ;
28.02.1991; 67    ; 16    ;01     ;
05.03.1991;       ;       ;01     ;
10.03.1991; 66    ;  3    ;01     ;
15.03.1991;       ;       ;01     ;
20.03.1991; 61    ;  2    ;01     ;
25.03.1991;       ;       ;01     ;
31.03.1991;       ;       ;01     ;
05.12.1991;       ;       ;01     ;
10.12.1991; 23    ;  2    ;01     ;
15.12.1991;       ;       ;01     ;
20.12.1991; 40    ;  0    ;01     ;
25.12.1991;       ;       ;01     ;
31.12.1991; 44    ;  7    ;01     ;
05.01.1992;       ;       ;01     ;
10.01.1992; 53    ;  5    ;01     ;
15.01.1992;       ;       ;01     ;
20.01.1992; 59    ; 17    ;01     ;
25.01.1992;       ;       ;01     ;
31.01.1992; 61    ; 15    ;01     ;
05.02.1992;       ;       ;01     ;
10.02.1992; 61    ; 19    ;01     ;
15.02.1992;       ;       ;01     ;
20.02.1992; 61    ; 19    ;01     ;
25.02.1992;       ;       ;01     ;
29.02.1992; 61    ;  6    ;01     ;
05.03.1992;       ;       ;01     ;
10.03.1992; 60    ;  0    ;01     ;
15.03.1992;       ;       ;01     ;
20.03.1992;       ;       ;01     ;
25.03.1992;       ;       ;01     ;
31.03.1992;       ;       ;01     ;
10.11.1992;  3    ;  1    ;01     ;
15.11.1992;       ;       ;01     ;
20.11.1992;  7    ;  6    ;01     ;
25.11.1992;       ;       ;01     ;
30.11.1992; 19    ;  9    ;01     ;
05.12.1992;       ;       ;01     ;
10.12.1992; 23    ; 12    ;01     ;
15.12.1992;       ;       ;01     ;
20.12.1992; 32    ; 13    ;01     ;
25.12.1992;       ;       ;01     ;
31.12.1992; 39    ; 17    ;01     ;
05.01.1993;       ;       ;01     ;
10.01.1993; 45    ; 15    ;01     ;
15.01.1993;       ;       ;01     ;
20.01.1993; 73    ;  3    ;01     ;
25.01.1993;       ;       ;01     ;
31.01.1993; 81    ;  3    ;01     ;
05.02.1993;       ;       ;01     ;
10.02.1993; 87    ;  1    ;01     ;
15.02.1993;       ;       ;01     ;
20.02.1993; 88    ;  7    ;01     ;
25.02.1993;       ;       ;01     ;
28.02.1993; 92    ;  9    ;01     ;
05.03.1993;       ;       ;01     ;
10.03.1993; 93    ;  0    ;01     ;
15.03.1993;       ;       ;01     ;
20.03.1993; 95    ;  0    ;01     ;
25.03.1993;       ;       ;01     ;
31.03.1993;       ;       ;01     ;
20.11.1993;  4    ;  1    ;01     ;
25.11.1993;       ;       ;01     ;
30.11.1993; 22    ;  0    ;01     ;
05.12.1993;       ;       ;01     ;
10.12.1993; 47    ;  0    ;01     ;
15.12.1993;       ;       ;01     ;
20.12.1993; 51    ;  7    ;01     ;
25.12.1993;       ;       ;01     ;
31.12.1993; 55    ; 13    ;01     ;
05.01.1994;       ;       ;01     ;
10.01.1994; 61    ; 17    ;01     ;
15.01.1994;       ;       ;01     ;
20.01.1994; 67    ; 18    ;01     ;
25.01.1994;       ;       ;01     ;
31.01.1994; 73    ; 18    ;01     ;
05.02.1994;       ;       ;01     ;
10.02.1994; 78    ;  2    ;01     ;
15.02.1994;       ;       ;01     ;
20.02.1994; 83    ;  4    ;01     ;
25.02.1994;       ;       ;01     ;
28.02.1994; 85    ;  5    ;01     ;
05.03.1994;       ;       ;01     ;
10.03.1994; 93    ; 12    ;01     ;
15.03.1994;       ;       ;01     ;
20.03.1994; 93    ;  5    ;01     ;
25.03.1994; 93    ;  0    ;01     ;
31.03.1994; 95    ;  3    ;01     ;
