Месяц.год;Расход    ;День ;День ;Число;Расход    ;День ;День ;Число;
         ;минимал.  ;1-й  ;посл.;случ.;максимал. ;1-й  ;посл.;случ.;
01.2000  ;     0.870;31   ;     ;01   ;     1.690;01   ;     ;01   ;
02.2000  ;     0.450;26   ;     ;01   ;     0.860;01   ;     ;01   ;
03.2000  ;     0.500;01   ;     ;01   ;     0.740;30   ;31   ;02   ;
04.2000  ;     0.740;01   ;     ;01   ;   134.000;24   ;     ;01   ;
05.2000  ;    21.700;31   ;     ;01   ;    83.300;13   ;     ;01   ;
06.2000  ;     2.840;25   ;26   ;02   ;    20.400;01   ;     ;01   ;
07.2000  ;     3.030;01   ;     ;01   ;   192.000;23   ;     ;01   ;
08.2000  ;     9.750;22   ;     ;01   ;   103.000;01   ;     ;01   ;
09.2000  ;     9.480;05   ;     ;01   ;    84.400;19   ;     ;01   ;
10.2000  ;    14.100;31   ;     ;01   ;    84.400;05   ;     ;01   ;
11.2000  ;     2.500;30   ;     ;01   ;    13.700;01   ;     ;01   ;
12.2000  ;     0.980;31   ;     ;01   ;     2.440;01   ;     ;01   ;
01.2001  ;     0.500;31   ;     ;01   ;     0.960;01   ;     ;01   ;
02.2001  ;     0.270;27   ;28   ;02   ;     0.490;01   ;     ;01   ;
03.2001  ;     0.210;28   ;31   ;04   ;     0.270;01   ;     ;01   ;
04.2001  ;     0.210;01   ;02   ;02   ;   137.000;19   ;     ;01   ;
05.2001  ;    26.900;13   ;15   ;03   ;   120.000;20   ;     ;01   ;
06.2001  ;     6.140;26   ;     ;01   ;    41.200;02   ;     ;01   ;
07.2001  ;     7.550;03   ;     ;01   ;    62.900;13   ;     ;01   ;
08.2001  ;     4.700;19   ;20   ;02   ;    30.000;26   ;     ;01   ;
09.2001  ;     4.240;15   ;     ;01   ;    12.200;17   ;     ;01   ;
10.2001  ;     4.390;08   ;16   ;09   ;     6.140;23   ;     ;01   ;
11.2001  ;     2.190;30   ;     ;01   ;     7.280;02   ;     ;01   ;
12.2001  ;     0.370;31   ;     ;01   ;     2.100;01   ;     ;01   ;
01.2002  ;     0.310;25   ;31   ;07   ;     0.370;01   ;04   ;04   ;
02.2002  ;     0.290;15   ;28   ;14   ;     0.310;01   ;02   ;02   ;
03.2002  ;     0.280;11   ;29   ;19   ;     0.330;31   ;     ;01   ;
04.2002  ;     0.400;01   ;     ;01   ;   197.000;25   ;     ;01   ;
05.2002  ;    10.800;30   ;     ;01   ;    77.900;01   ;     ;01   ;
06.2002  ;     7.550;24   ;25   ;02   ;    73.700;09   ;     ;01   ;
07.2002  ;    10.100;03   ;     ;01   ;    73.700;27   ;     ;01   ;
08.2002  ;    25.300;31   ;     ;01   ;   215.000;05   ;     ;01   ;
09.2002  ;     5.710;30   ;     ;01   ;    42.700;03   ;     ;01   ;
10.2002  ;     5.500;01   ;     ;01   ;   155.000;09   ;     ;01   ;
11.2002  ;     2.260;30   ;     ;01   ;    10.800;01   ;     ;01   ;
12.2002  ;     0.510;31   ;     ;01   ;     2.190;01   ;     ;01   ;
01.2003  ;     0.220;30   ;31   ;02   ;     0.500;01   ;     ;01   ;
02.2003  ;     0.130;17   ;21   ;05   ;     0.210;01   ;02   ;02   ;
03.2003  ;     0.140;01   ;03   ;03   ;     1.000;31   ;     ;01   ;
04.2003  ;     0.990;01   ;     ;01   ;    55.500;18   ;     ;01   ;
05.2003  ;     5.890;30   ;     ;01   ;    16.400;02   ;     ;01   ;
06.2003  ;     2.820;29   ;     ;01   ;    18.100;18   ;     ;01   ;
07.2003  ;     1.430;23   ;30   ;05   ;     4.230;11   ;     ;01   ;
08.2003  ;     1.520;01   ;     ;01   ;   137.000;11   ;     ;01   ;
09.2003  ;     7.060;26   ;28   ;03   ;   118.000;07   ;     ;01   ;
10.2003  ;    12.500;02   ;     ;01   ;    69.700;12   ;     ;01   ;
11.2003  ;     3.800;30   ;     ;01   ;    25.900;04   ;     ;01   ;
12.2003  ;     0.850;31   ;     ;01   ;     3.690;01   ;     ;01   ;
01.2004  ;     0.420;30   ;31   ;02   ;     0.840;01   ;     ;01   ;
02.2004  ;     0.400;17   ;24   ;08   ;     0.430;29   ;     ;01   ;
03.2004  ;     0.430;01   ;     ;01   ;     1.700;31   ;     ;01   ;
04.2004  ;     2.100;01   ;     ;01   ;   138.000;21   ;     ;01   ;
05.2004  ;    25.900;31   ;     ;01   ;   213.000;08   ;     ;01   ;
06.2004  ;     4.480;22   ;     ;01   ;    60.100;02   ;     ;01   ;
07.2004  ;     3.210;13   ;16   ;03   ;   105.000;24   ;     ;01   ;
08.2004  ;     5.250;29   ;31   ;03   ;   250.000;10   ;     ;01   ;
09.2004  ;     4.990;29   ;30   ;02   ;    24.300;20   ;     ;01   ;
10.2004  ;     4.990;20   ;     ;01   ;    14.900;03   ;     ;01   ;
11.2004  ;     3.010;30   ;     ;01   ;    62.000;12   ;     ;01   ;
12.2004  ;     2.620;31   ;     ;01   ;     3.000;01   ;     ;01   ;
01.2005  ;     1.530;31   ;     ;01   ;     2.590;01   ;     ;01   ;
02.2005  ;     0.660;27   ;     ;01   ;     1.500;01   ;     ;01   ;
03.2005  ;     0.680;01   ;     ;01   ;     0.980;31   ;     ;01   ;
04.2005  ;     0.970;05   ;     ;01   ;   199.000;30   ;     ;01   ;
05.2005  ;    23.800;31   ;     ;01   ;   261.000;04   ;     ;01   ;
06.2005  ;     4.230;26   ;30   ;03   ;    22.700;01   ;     ;01   ;
07.2005  ;     2.950;14   ;15   ;02   ;    17.200;18   ;     ;01   ;
08.2005  ;     3.460;22   ;26   ;05   ;    38.900;04   ;     ;01   ;
09.2005  ;     5.500;12   ;     ;01   ;    52.800;13   ;     ;01   ;
10.2005  ;     6.710;26   ;     ;01   ;    23.800;09   ;     ;01   ;
11.2005  ;     3.660;30   ;     ;01   ;    24.800;08   ;     ;01   ;
12.2005  ;     1.690;31   ;     ;01   ;     3.580;01   ;     ;01   ;
01.2006  ;     0.820;31   ;     ;01   ;     1.650;01   ;     ;01   ;
02.2006  ;     0.470;22   ;24   ;03   ;     0.800;01   ;     ;01   ;
03.2006  ;     0.480;01   ;     ;01   ;     0.570;31   ;     ;01   ;
04.2006  ;     0.590;01   ;     ;01   ;    93.300;28   ;     ;01   ;
05.2006  ;    14.100;30   ;     ;01   ;   188.000;12   ;     ;01   ;
06.2006  ;    10.200;04   ;     ;01   ;   106.000;30   ;     ;01   ;
07.2006  ;    10.200;14   ;     ;01   ;   104.000;31   ;     ;01   ;
08.2006  ;    11.400;31   ;     ;01   ;   340.000;07   ;     ;01   ;
09.2006  ;     6.280;26   ;30   ;05   ;    13.300;05   ;     ;01   ;
10.2006  ;     5.500;05   ;     ;01   ;    15.300;18   ;     ;01   ;
11.2006  ;     3.180;30   ;     ;01   ;    13.300;07   ;     ;01   ;
12.2006  ;     1.130;31   ;     ;01   ;     3.020;01   ;     ;01   ;
01.2007  ;     0.600;31   ;     ;01   ;     1.110;01   ;     ;01   ;
02.2007  ;     0.220;28   ;     ;01   ;     0.580;01   ;     ;01   ;
03.2007  ;     0.220;01   ;07   ;07   ;     0.240;22   ;31   ;10   ;
04.2007  ;     0.240;01   ;02   ;02   ;   121.000;25   ;     ;01   ;
05.2007  ;    17.700;31   ;     ;01   ;    62.000;03   ;     ;01   ;
06.2007  ;     5.890;20   ;30   ;03   ;    17.200;07   ;     ;01   ;
07.2007  ;     4.230;18   ;19   ;02   ;    33.000;28   ;     ;01   ;
08.2007  ;     7.450;08   ;09   ;02   ;    50.900;12   ;     ;01   ;
09.2007  ;     8.620;07   ;     ;01   ;    35.200;10   ;     ;01   ;
10.2007  ;     8.620;31   ;     ;01   ;    15.600;09   ;10   ;02   ;
11.2007  ;     3.940;30   ;     ;01   ;     9.010;01   ;02   ;02   ;
12.2007  ;     0.180;31   ;     ;01   ;     3.800;01   ;     ;01   ;
01.2008  ;     0.120;23   ;25   ;03   ;     0.180;01   ;     ;01   ;
02.2008  ;     0.160;01   ;02   ;02   ;     0.290;29   ;     ;01   ;
03.2008  ;     0.310;01   ;     ;01   ;    11.600;31   ;     ;01   ;
04.2008  ;     6.630;13   ;     ;01   ;    15.500;05   ;     ;01   ;
05.2008  ;    11.000;01   ;     ;01   ;   107.000;06   ;     ;01   ;
06.2008  ;     5.500;29   ;30   ;02   ;    39.700;10   ;     ;01   ;
07.2008  ;     4.230;28   ;30   ;03   ;     8.620;18   ;     ;01   ;
08.2008  ;     5.250;28   ;31   ;03   ;    33.000;03   ;     ;01   ;
09.2008  ;     4.990;02   ;10   ;03   ;     8.620;28   ;     ;01   ;
10.2008  ;     5.500;07   ;10   ;04   ;    13.700;26   ;     ;01   ;
11.2008  ;     3.800;30   ;     ;01   ;    11.000;04   ;     ;01   ;
12.2008  ;     0.950;31   ;     ;01   ;     3.600;01   ;     ;01   ;
01.2009  ;     0.500;30   ;31   ;02   ;     0.920;01   ;     ;01   ;
02.2009  ;     0.470;26   ;28   ;03   ;     0.500;01   ;05   ;05   ;
03.2009  ;     0.470;01   ;09   ;09   ;     0.500;26   ;31   ;06   ;
04.2009  ;     0.500;01   ;     ;01   ;    69.700;22   ;     ;01   ;
05.2009  ;    10.200;31   ;     ;01   ;    62.000;03   ;     ;01   ;
06.2009  ;    11.400;01   ;     ;01   ;   181.000;25   ;     ;01   ;
07.2009  ;    12.900;14   ;     ;01   ;   161.000;17   ;     ;01   ;
08.2009  ;     7.450;16   ;18   ;03   ;   128.000;23   ;     ;01   ;
09.2009  ;    11.400;15   ;30   ;04   ;    21.700;01   ;     ;01   ;
10.2009  ;    11.700;01   ;25   ;04   ;    15.600;03   ;     ;01   ;
