Дата      ;Толщина;Высота ;Место  ;
          ;льда   ;снега  ;измер. ;
10.01.2000; 32    ; 26    ;02     ;
20.01.2000; 38    ; 24    ;02     ;
31.01.2000; 46    ; 14    ;02     ;
10.02.2000; 52    ; 23    ;02     ;
20.02.2000; 59    ; 17    ;02     ;
29.02.2000; 67    ; 17    ;02     ;
10.03.2000; 70    ; 14    ;02     ;
20.03.2000; 70    ; 20    ;02     ;
31.03.2000; 64    ; 15    ;02     ;
30.11.2000; 23    ;  9    ;02     ;
10.12.2000; 25    ; 12    ;02     ;
20.12.2000; 29    ; 16    ;02     ;
31.12.2000; 34    ; 20    ;02     ;
10.01.2001; 38    ; 25    ;02     ;
20.01.2001; 39    ; 26    ;02     ;
31.01.2001; 39    ; 23    ;02     ;
10.02.2001; 54    ; 22    ;02     ;
20.02.2001; 70    ; 31    ;02     ;
28.02.2001; 79    ; 20    ;02     ;
10.03.2001; 72    ; 18    ;02     ;
20.03.2001; 59    ; 15    ;02     ;
31.03.2001; 45    ; 10    ;02     ;
30.11.2001; 12    ;       ;02     ;
10.12.2001; 19    ;  0    ;02     ;
20.12.2001; 42    ;  0    ;02     ;
31.12.2001; 57    ;  2    ;02     ;
10.01.2002; 60    ;  2    ;02     ;
20.01.2002; 62    ;  8    ;02     ;
31.01.2002; 65    ; 22    ;02     ;
10.02.2002; 72    ; 22    ;02     ;
20.02.2002; 74    ; 20    ;02     ;
28.02.2002; 71    ; 14    ;02     ;
10.03.2002; 64    ;       ;02     ;
20.03.2002; 64    ;       ;02     ;
20.11.2002;  8    ;  2    ;02     ;
30.11.2002; 18    ;  7    ;02     ;
10.12.2002; 33    ;       ;02     ;
20.12.2002; 42    ;       ;02     ;
31.12.2002; 66    ;  2    ;02     ;
10.01.2003; 71    ;  4    ;02     ;
20.01.2003; 68    ; 12    ;02     ;
31.01.2003; 68    ; 24    ;02     ;
10.02.2003; 64    ; 19    ;02     ;
20.02.2003; 62    ; 17    ;02     ;
28.02.2003; 62    ; 12    ;02     ;
10.03.2003; 70    ; 18    ;02     ;
20.03.2003; 68    ;  4    ;02     ;
30.11.2003; 17    ;  8    ;02     ;
10.12.2003; 25    ; 14    ;02     ;
20.12.2003; 37    ; 12    ;02     ;
31.12.2003; 42    ; 16    ;02     ;
