Дата      ;Толщина;Высота ;Место  ;
          ;льда   ;снега  ;измер. ;
05.01.2013;       ;       ;02     ;
10.01.2013; 58    ; 10    ;02     ;
15.01.2013;       ;       ;02     ;
20.01.2013; 73    ; 10    ;02     ;
25.01.2013;       ;       ;02     ;
31.01.2013; 86    ; 15    ;02     ;
05.02.2013;       ;       ;02     ;
10.02.2013; 90    ; 15    ;02     ;
15.02.2013;       ;       ;02     ;
20.02.2013; 93    ; 24    ;02     ;
25.02.2013;       ;       ;02     ;
28.02.2013; 94    ; 24    ;02     ;
05.03.2013;       ;       ;02     ;
10.03.2013; 94    ; 21    ;02     ;
15.03.2013; 96    ; 25    ;02     ;
20.03.2013; 97    ; 26    ;02     ;
25.03.2013; 97    ; 25    ;02     ;
31.03.2013; 97    ; 30    ;02     ;
05.04.2013; 95    ; 18    ;02     ;
10.04.2013;       ;       ;02     ;
15.04.2013;       ;       ;02     ;
20.04.2013;       ;       ;02     ;
25.04.2013;       ;       ;02     ;
25.11.2013;       ;       ;02     ;
30.11.2013; 10    ;  2    ;02     ;
05.12.2013; 18    ;  1    ;02     ;
10.12.2013; 20    ;  7    ;02     ;
15.12.2013; 22    ;  8    ;02     ;
20.12.2013; 32    ;  8    ;02     ;
25.12.2013;       ;       ;02     ;
31.12.2013; 41    ;  8    ;02     ;
05.01.2014;       ;       ;02     ;
10.01.2014; 59    ; 10    ;02     ;
15.01.2014;       ;       ;02     ;
20.01.2014; 67    ; 10    ;02     ;
25.01.2014;       ;       ;02     ;
31.01.2014; 79    ; 10    ;02     ;
05.02.2014;       ;       ;02     ;
10.02.2014; 82    ; 14    ;02     ;
15.02.2014;       ;       ;02     ;
20.02.2014; 83    ; 14    ;02     ;
25.02.2014;       ;       ;02     ;
28.02.2014; 83    ; 12    ;02     ;
05.03.2014;       ;       ;02     ;
10.03.2014; 83    ; 12    ;02     ;
15.03.2014; 85    ;  8    ;02     ;
20.03.2014; 92    ;       ;02     ;
25.03.2014; 88    ;       ;02     ;
31.03.2014; 83    ;       ;02     ;
05.04.2014;       ;       ;02     ;
10.04.2014;       ;       ;02     ;
10.11.2014;       ;       ;02     ;
15.11.2014;  9    ;  1    ;02     ;
20.11.2014; 18    ;  1    ;02     ;
25.11.2014; 21    ;  1    ;02     ;
30.11.2014; 23    ;  3    ;02     ;
05.12.2014; 28    ;  9    ;02     ;
10.12.2014; 29    ; 13    ;02     ;
15.12.2014; 31    ; 13    ;02     ;
20.12.2014; 50    ; 15    ;02     ;
25.12.2014;       ;       ;02     ;
31.12.2014; 55    ; 16    ;02     ;
05.01.2015;       ;       ;02     ;
10.01.2015; 60    ; 14    ;02     ;
15.01.2015;       ;       ;02     ;
20.01.2015; 60    ; 14    ;02     ;
25.01.2015;       ;       ;02     ;
31.01.2015; 63    ; 15    ;02     ;
05.02.2015;       ;       ;02     ;
10.02.2015; 68    ; 13    ;02     ;
15.02.2015;       ;       ;02     ;
20.02.2015; 69    ; 13    ;02     ;
25.02.2015;       ;       ;02     ;
28.02.2015; 79    ; 27    ;02     ;
05.03.2015;       ;       ;02     ;
10.03.2015; 77    ; 24    ;02     ;
15.03.2015; 83    ; 31    ;02     ;
20.03.2015; 86    ; 22    ;02     ;
25.03.2015; 88    ;  0    ;02     ;
31.03.2015; 85    ;       ;02     ;
05.04.2015;       ;       ;02     ;
10.04.2015;       ;       ;02     ;
15.04.2015;       ;       ;02     ;
20.04.2015;       ;       ;02     ;
20.11.2015;       ;       ;02     ;
25.11.2015; 24    ;       ;02     ;
30.11.2015; 33    ;       ;02     ;
05.12.2015;       ;       ;02     ;
10.12.2015; 45    ;  1    ;02     ;
15.12.2015;       ;       ;02     ;
20.12.2015; 58    ;  4    ;02     ;
25.12.2015;       ;       ;02     ;
31.12.2015; 70    ;  3    ;02     ;
05.01.2016;       ;       ;02     ;
10.01.2016; 81    ;  4    ;02     ;
15.01.2016;       ;       ;02     ;
20.01.2016; 84    ;  8    ;02     ;
25.01.2016;       ;       ;02     ;
31.01.2016; 91    ;  6    ;02     ;
05.02.2016;       ;       ;02     ;
10.02.2016;102    ; 10    ;02     ;
15.02.2016;       ;       ;02     ;
20.02.2016;108    ;  9    ;02     ;
25.02.2016;       ;       ;02     ;
29.02.2016;110    ;  7    ;02     ;
05.03.2016;       ;       ;02     ;
10.03.2016;104    ; 13    ;02     ;
15.03.2016;103    ;  9    ;02     ;
20.03.2016;111    ; 22    ;02     ;
25.03.2016;116    ;  2    ;02     ;
31.03.2016;122    ;       ;02     ;
05.04.2016;119    ;       ;02     ;
10.04.2016;       ;       ;02     ;
15.04.2016;       ;       ;02     ;
20.04.2016;       ;       ;02     ;
15.11.2016; 17    ; 22    ;02     ;
20.11.2016; 28    ; 16    ;02     ;
25.11.2016; 33    ; 15    ;02     ;
30.11.2016; 37    ; 18    ;02     ;
05.12.2016;       ;       ;02     ;
10.12.2016; 51    ; 15    ;02     ;
15.12.2016;       ;       ;02     ;
20.12.2016; 55    ;  9    ;02     ;
25.12.2016;       ;       ;02     ;
31.12.2016; 60    ; 16    ;02     ;
05.01.2017;       ;       ;02     ;
10.01.2017; 62    ; 17    ;02     ;
15.01.2017;       ;       ;02     ;
20.01.2017; 65    ; 17    ;02     ;
25.01.2017;       ;       ;02     ;
31.01.2017; 66    ; 16    ;02     ;
05.02.2017;       ;       ;02     ;
10.02.2017; 69    ; 19    ;02     ;
15.02.2017;       ;       ;02     ;
20.02.2017; 70    ; 21    ;02     ;
25.02.2017;       ;       ;02     ;
28.02.2017; 71    ; 16    ;02     ;
05.03.2017;       ;       ;02     ;
10.03.2017; 76    ;  5    ;02     ;
15.03.2017; 79    ;  1    ;02     ;
20.03.2017; 81    ;  1    ;02     ;
25.03.2017; 82    ;  0    ;02     ;
31.03.2017; 84    ;       ;02     ;
05.04.2017;       ;       ;02     ;
10.04.2017;       ;       ;02     ;
15.04.2017;       ;       ;02     ;
20.11.2017;       ;       ;02     ;
25.11.2017; 13    ;  1    ;02     ;
30.11.2017; 19    ;  4    ;02     ;
05.12.2017; 32    ;  3    ;02     ;
10.12.2017; 41    ;  3    ;02     ;
15.12.2017;       ;       ;02     ;
20.12.2017; 59    ;  5    ;02     ;
25.12.2017;       ;       ;02     ;
31.12.2017; 62    ;  4    ;02     ;
20.11.1984; 20    ;  1    ;01     ;
25.11.1984; 24    ;  0    ;01     ;
30.11.1984; 35    ;  0    ;01     ;
10.12.1984; 49    ;  1    ;01     ;
20.12.1984; 61    ;  2    ;01     ;
31.12.1984; 80    ;  2    ;01     ;
