Месяц.год;Расход    ;День ;День ;Число;Расход    ;День ;День ;Число;
         ;минимал.  ;1-й  ;посл.;случ.;максимал. ;1-й  ;посл.;случ.;
01.2000  ;          ;     ;     ;     ;          ;     ;     ;     ;
02.2000  ;          ;     ;     ;     ;          ;     ;     ;     ;
03.2000  ;          ;     ;     ;     ;          ;     ;     ;     ;
04.2000  ;          ;     ;     ;     ;    25.200;28   ;     ;01   ;
05.2000  ;    11.600;10   ;11   ;02   ;    24.500;01   ;     ;01   ;
06.2000  ;     6.980;26   ;27   ;02   ;    21.800;02   ;03   ;02   ;
07.2000  ;     8.960;03   ;11   ;05   ;    19.100;30   ;31   ;02   ;
08.2000  ;     7.640;27   ;28   ;02   ;    18.400;01   ;     ;01   ;
09.2000  ;     6.320;12   ;13   ;02   ;     9.620;19   ;     ;01   ;
10.2000  ;     4.550;29   ;31   ;03   ;     8.960;02   ;03   ;02   ;
11.2000  ;     0.160;30   ;     ;01   ;     4.550;01   ;04   ;04   ;
12.2000  ;          ;02   ;31   ;30   ;     0.082;01   ;     ;01   ;
01.2001  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
02.2001  ;          ;01   ;28   ;28   ;          ;01   ;28   ;28   ;
03.2001  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
04.2001  ;          ;     ;     ;     ;          ;     ;     ;     ;
05.2001  ;     3.420;01   ;     ;01   ;    27.800;16   ;17   ;02   ;
06.2001  ;     6.520;22   ;25   ;04   ;    21.100;05   ;     ;01   ;
07.2001  ;     4.600;08   ;     ;01   ;    16.100;13   ;14   ;02   ;
08.2001  ;     3.400;14   ;20   ;05   ;     8.000;01   ;     ;01   ;
09.2001  ;     1.880;24   ;26   ;03   ;     3.960;01   ;     ;01   ;
10.2001  ;     1.880;14   ;21   ;04   ;     3.400;05   ;07   ;03   ;
11.2001  ;     0.990;30   ;     ;01   ;     3.000;01   ;     ;01   ;
12.2001  ;          ;10   ;31   ;22   ;     0.890;01   ;     ;01   ;
01.2002  ;          ;01   ;31   ;31   ;          ;01   ;31   ;31   ;
02.2002  ;          ;01   ;28   ;28   ;          ;01   ;28   ;28   ;
03.2002  ;          ;01   ;26   ;26   ;          ;     ;     ;     ;
04.2002  ;          ;     ;     ;     ;     6.180;30   ;     ;01   ;
05.2002  ;     7.790;01   ;     ;01   ;    34.700;31   ;     ;01   ;
06.2002  ;     5.900;29   ;30   ;02   ;    44.900;03   ;     ;01   ;
07.2002  ;     5.600;02   ;04   ;03   ;    10.100;11   ;     ;01   ;
08.2002  ;          ;     ;     ;     ;    16.600;20   ;22   ;03   ;
09.2002  ;     5.600;16   ;17   ;02   ;     7.730;03   ;04   ;02   ;
10.2002  ;     5.600;31   ;     ;01   ;     9.600;10   ;11   ;02   ;
11.2002  ;     1.140;28   ;     ;01   ;     7.730;04   ;05   ;02   ;
12.2002  ;     1.100;18   ;     ;01   ;     1.270;06   ;     ;01   ;
01.2003  ;     0.370;30   ;     ;01   ;     1.110;01   ;     ;01   ;
02.2003  ;     0.480;01   ;     ;01   ;     1.250;15   ;     ;01   ;
03.2003  ;     0.390;22   ;     ;01   ;     1.040;01   ;     ;01   ;
04.2003  ;     0.900;01   ;     ;01   ;    16.700;30   ;     ;01   ;
05.2003  ;     4.980;30   ;     ;01   ;    18.200;13   ;     ;01   ;
06.2003  ;     3.840;14   ;16   ;03   ;     7.100;03   ;06   ;03   ;
07.2003  ;     3.460;24   ;26   ;03   ;     4.140;03   ;     ;01   ;
08.2003  ;     3.620;06   ;     ;01   ;     4.700;31   ;     ;01   ;
09.2003  ;     3.840;28   ;29   ;02   ;     5.260;02   ;     ;01   ;
10.2003  ;     3.400;20   ;21   ;02   ;     4.140;01   ;06   ;03   ;
11.2003  ;     0.760;30   ;     ;01   ;     4.700;06   ;     ;01   ;
