Месяц.год;Расход    ;День ;День ;Число;Расход    ;День ;День ;Число;
         ;минимал.  ;1-й  ;посл.;случ.;максимал. ;1-й  ;посл.;случ.;
01.2000  ;     3.320;31   ;     ;01   ;     4.960;01   ;     ;01   ;
02.2000  ;     2.520;29   ;     ;01   ;     3.290;01   ;     ;01   ;
03.2000  ;     2.350;30   ;31   ;02   ;     2.580;29   ;     ;01   ;
04.2000  ;     2.290;01   ;     ;01   ;   165.000;24   ;     ;01   ;
05.2000  ;    56.500;11   ;12   ;02   ;   122.000;25   ;     ;01   ;
06.2000  ;    12.900;24   ;29   ;04   ;    56.500;01   ;     ;01   ;
07.2000  ;     7.980;12   ;20   ;03   ;   118.000;31   ;     ;01   ;
08.2000  ;    43.700;08   ;     ;01   ;   178.000;26   ;27   ;02   ;
09.2000  ;    26.000;26   ;     ;01   ;   114.000;01   ;     ;01   ;
10.2000  ;    15.400;29   ;     ;01   ;    33.300;12   ;13   ;02   ;
11.2000  ;     2.940;30   ;     ;01   ;    19.700;07   ;     ;01   ;
12.2000  ;     1.740;31   ;     ;01   ;     2.890;01   ;     ;01   ;
01.2001  ;     0.930;31   ;     ;01   ;     1.640;01   ;     ;01   ;
02.2001  ;     0.270;28   ;     ;01   ;     0.930;01   ;     ;01   ;
03.2001  ;     0.120;13   ;15   ;03   ;     1.230;31   ;     ;01   ;
04.2001  ;     1.380;01   ;     ;01   ;   111.000;28   ;     ;01   ;
05.2001  ;    27.900;20   ;     ;01   ;   117.000;07   ;     ;01   ;
06.2001  ;    17.700;25   ;27   ;03   ;    56.800;01   ;     ;01   ;
07.2001  ;    15.900;03   ;     ;01   ;   159.000;31   ;     ;01   ;
08.2001  ;    46.900;19   ;     ;01   ;   358.000;04   ;     ;01   ;
09.2001  ;    20.700;30   ;     ;01   ;    58.200;07   ;     ;01   ;
10.2001  ;    12.900;27   ;30   ;02   ;    28.800;05   ;     ;01   ;
11.2001  ;     4.670;30   ;     ;01   ;    15.300;01   ;     ;01   ;
12.2001  ;     1.260;31   ;     ;01   ;     4.330;01   ;     ;01   ;
01.2002  ;     0.640;25   ;31   ;07   ;     1.200;01   ;     ;01   ;
02.2002  ;     0.600;23   ;25   ;03   ;     0.650;28   ;     ;01   ;
03.2002  ;     0.670;01   ;     ;01   ;     1.840;31   ;     ;01   ;
04.2002  ;     2.010;01   ;     ;01   ;   251.000;23   ;     ;01   ;
05.2002  ;    11.100;27   ;30   ;03   ;    80.400;01   ;     ;01   ;
06.2002  ;    14.500;01   ;     ;01   ;    46.500;20   ;     ;01   ;
07.2002  ;    31.800;09   ;     ;01   ;    73.700;26   ;     ;01   ;
08.2002  ;    36.100;14   ;     ;01   ;   204.000;18   ;     ;01   ;
09.2002  ;    18.800;30   ;     ;01   ;    70.400;03   ;     ;01   ;
10.2002  ;    15.000;31   ;     ;01   ;    45.100;14   ;     ;01   ;
11.2002  ;     4.780;30   ;     ;01   ;    16.600;01   ;     ;01   ;
12.2002  ;     1.860;30   ;31   ;02   ;     4.720;01   ;     ;01   ;
01.2003  ;     1.530;23   ;31   ;09   ;     1.860;01   ;07   ;07   ;
02.2003  ;     1.330;28   ;     ;01   ;     1.530;01   ;09   ;09   ;
03.2003  ;     1.270;10   ;     ;01   ;     5.900;31   ;     ;01   ;
04.2003  ;     6.270;02   ;     ;01   ;    39.300;15   ;     ;01   ;
05.2003  ;     8.880;10   ;     ;01   ;    87.400;31   ;     ;01   ;
06.2003  ;    15.300;22   ;     ;01   ;    73.700;01   ;     ;01   ;
07.2003  ;    16.700;01   ;     ;01   ;   201.000;14   ;     ;01   ;
08.2003  ;    46.500;31   ;     ;01   ;   230.000;05   ;     ;01   ;
09.2003  ;    39.600;30   ;     ;01   ;   116.000;13   ;     ;01   ;
10.2003  ;    24.900;26   ;     ;01   ;    39.600;01   ;     ;01   ;
11.2003  ;     6.630;30   ;     ;01   ;    31.800;02   ;     ;01   ;
12.2003  ;     2.850;31   ;     ;01   ;     6.420;01   ;     ;01   ;
01.2004  ;     1.890;31   ;     ;01   ;     2.850;01   ;     ;01   ;
02.2004  ;     1.400;28   ;29   ;02   ;     1.870;01   ;     ;01   ;
03.2004  ;     1.430;01   ;     ;01   ;     7.210;31   ;     ;01   ;
04.2004  ;     7.680;01   ;     ;01   ;    76.000;15   ;     ;01   ;
05.2004  ;    30.700;01   ;02   ;02   ;   217.000;23   ;     ;01   ;
06.2004  ;    21.400;27   ;30   ;02   ;   108.000;01   ;     ;01   ;
07.2004  ;    19.700;01   ;02   ;02   ;   122.000;24   ;     ;01   ;
08.2004  ;    21.400;27   ;29   ;03   ;    58.000;09   ;31   ;02   ;
09.2004  ;    18.100;26   ;30   ;02   ;    46.500;01   ;     ;01   ;
10.2004  ;    13.100;30   ;     ;01   ;    26.600;05   ;06   ;02   ;
11.2004  ;     6.230;30   ;     ;01   ;    15.300;04   ;     ;01   ;
12.2004  ;     2.500;31   ;     ;01   ;     6.090;01   ;     ;01   ;
01.2005  ;     1.100;31   ;     ;01   ;     2.480;01   ;     ;01   ;
02.2005  ;     0.690;25   ;26   ;02   ;     1.090;01   ;     ;01   ;
03.2005  ;     0.750;01   ;     ;01   ;     1.370;30   ;31   ;02   ;
04.2005  ;     1.800;01   ;     ;01   ;   264.000;29   ;     ;01   ;
05.2005  ;    37.700;29   ;     ;01   ;   201.000;01   ;     ;01   ;
06.2005  ;    27.400;30   ;     ;01   ;   180.000;01   ;03   ;02   ;
07.2005  ;    15.700;14   ;15   ;02   ;    43.000;18   ;     ;01   ;
08.2005  ;    15.000;11   ;12   ;02   ;    41.700;13   ;     ;01   ;
09.2005  ;    13.800;27   ;28   ;02   ;    29.600;01   ;     ;01   ;
10.2005  ;     9.530;23   ;29   ;04   ;    34.000;01   ;     ;01   ;
11.2005  ;     3.100;30   ;     ;01   ;    13.800;03   ;04   ;02   ;
12.2005  ;     1.230;31   ;     ;01   ;     3.070;01   ;     ;01   ;
01.2006  ;     0.850;30   ;31   ;02   ;     1.210;01   ;     ;01   ;
02.2006  ;     0.720;28   ;     ;01   ;     0.840;01   ;02   ;02   ;
03.2006  ;     0.560;09   ;10   ;02   ;     0.800;30   ;31   ;02   ;
04.2006  ;     0.800;01   ;     ;01   ;   148.000;26   ;     ;01   ;
05.2006  ;    16.300;30   ;31   ;02   ;   104.000;01   ;     ;01   ;
06.2006  ;    15.000;03   ;     ;01   ;   243.000;21   ;     ;01   ;
07.2006  ;    49.800;08   ;     ;01   ;   324.000;15   ;     ;01   ;
08.2006  ;    21.000;27   ;     ;01   ;   275.000;02   ;     ;01   ;
