Месяц.год;Расход    ;День ;День ;Число;Расход    ;День ;День ;Число;
         ;минимал.  ;1-й  ;посл.;случ.;максимал. ;1-й  ;посл.;случ.;
01.2000  ;    46.400;31   ;     ;01   ;    61.200;01   ;     ;01   ;
02.2000  ;    42.200;10   ;     ;01   ;    50.500;29   ;     ;01   ;
03.2000  ;    51.000;01   ;     ;01   ;    63.900;31   ;     ;01   ;
04.2000  ;    64.100;01   ;     ;01   ;   268.000;22   ;     ;01   ;
05.2000  ;   190.000;01   ;     ;01   ;   421.000;08   ;11   ;02   ;
06.2000  ;   149.000;26   ;     ;01   ;   340.000;09   ;     ;01   ;
07.2000  ;   247.000;02   ;     ;01   ;   891.000;24   ;     ;01   ;
08.2000  ;   274.000;23   ;     ;01   ;  1110.000;05   ;     ;01   ;
09.2000  ;   277.000;30   ;     ;01   ;   457.000;21   ;     ;01   ;
10.2000  ;   210.000;31   ;     ;01   ;   511.000;06   ;     ;01   ;
11.2000  ;    95.300;30   ;     ;01   ;   205.000;01   ;     ;01   ;
12.2000  ;    83.800;31   ;     ;01   ;    95.100;01   ;     ;01   ;
01.2001  ;    69.700;31   ;     ;01   ;    83.200;01   ;     ;01   ;
02.2001  ;    67.500;22   ;     ;01   ;    69.600;01   ;     ;01   ;
03.2001  ;    69.800;01   ;     ;01   ;    88.400;31   ;     ;01   ;
04.2001  ;    90.300;01   ;     ;01   ;   563.000;30   ;     ;01   ;
05.2001  ;   313.000;30   ;     ;01   ;  1000.000;01   ;     ;01   ;
06.2001  ;   186.000;25   ;     ;01   ;   443.000;05   ;     ;01   ;
07.2001  ;   237.000;04   ;     ;01   ;  1080.000;16   ;     ;01   ;
08.2001  ;   167.000;21   ;22   ;02   ;   439.000;27   ;     ;01   ;
09.2001  ;   145.000;16   ;     ;01   ;   247.000;02   ;     ;01   ;
10.2001  ;   104.000;27   ;31   ;03   ;   153.000;01   ;     ;01   ;
11.2001  ;    59.500;30   ;     ;01   ;   106.000;02   ;     ;01   ;
12.2001  ;    40.100;31   ;     ;01   ;    58.600;01   ;     ;01   ;
01.2002  ;    36.900;21   ;     ;01   ;    39.900;01   ;     ;01   ;
02.2002  ;    39.400;01   ;     ;01   ;    40.900;26   ;28   ;03   ;
03.2002  ;    40.900;01   ;05   ;05   ;    44.800;31   ;     ;01   ;
04.2002  ;    45.700;01   ;     ;01   ;   394.000;30   ;     ;01   ;
05.2002  ;   277.000;31   ;     ;01   ;   596.000;13   ;     ;01   ;
06.2002  ;   234.000;26   ;     ;01   ;   721.000;09   ;     ;01   ;
07.2002  ;   223.000;03   ;     ;01   ;   828.000;07   ;     ;01   ;
08.2002  ;   250.000;15   ;     ;01   ;   561.000;05   ;     ;01   ;
09.2002  ;   156.000;26   ;     ;01   ;   340.000;05   ;     ;01   ;
10.2002  ;   145.000;02   ;     ;01   ;   479.000;10   ;     ;01   ;
11.2002  ;    89.400;30   ;     ;01   ;   188.000;01   ;     ;01   ;
12.2002  ;    67.900;31   ;     ;01   ;    88.800;01   ;     ;01   ;
01.2003  ;    48.000;31   ;     ;01   ;    67.200;01   ;     ;01   ;
02.2003  ;    34.400;28   ;     ;01   ;    47.400;01   ;     ;01   ;
03.2003  ;    29.600;23   ;     ;01   ;    34.200;01   ;     ;01   ;
04.2003  ;    31.300;01   ;     ;01   ;   550.000;23   ;     ;01   ;
05.2003  ;   132.000;12   ;13   ;02   ;   333.000;21   ;22   ;02   ;
06.2003  ;   130.000;30   ;     ;01   ;   253.000;01   ;     ;01   ;
07.2003  ;    72.000;30   ;31   ;02   ;   132.000;13   ;     ;01   ;
08.2003  ;    77.500;01   ;     ;01   ;  1050.000;17   ;     ;01   ;
09.2003  ;   205.000;01   ;     ;01   ;   572.000;17   ;     ;01   ;
10.2003  ;   172.000;09   ;     ;01   ;   289.000;12   ;     ;01   ;
11.2003  ;    51.900;30   ;     ;01   ;   195.000;04   ;     ;01   ;
12.2003  ;    42.300;21   ;     ;01   ;    52.900;31   ;     ;01   ;
01.2004  ;    47.500;29   ;31   ;03   ;    52.600;01   ;     ;01   ;
02.2004  ;    39.000;28   ;29   ;02   ;    47.400;01   ;     ;01   ;
03.2004  ;    38.300;19   ;20   ;02   ;    64.500;31   ;     ;01   ;
04.2004  ;    66.800;01   ;     ;01   ;   557.000;30   ;     ;01   ;
05.2004  ;   225.000;01   ;     ;01   ;  1140.000;12   ;     ;01   ;
06.2004  ;   215.000;19   ;     ;01   ;   702.000;02   ;     ;01   ;
07.2004  ;   231.000;14   ;16   ;02   ;  1460.000;25   ;     ;01   ;
08.2004  ;   205.000;31   ;     ;01   ;  1730.000;11   ;     ;01   ;
09.2004  ;   228.000;01   ;     ;01   ;   425.000;20   ;     ;01   ;
10.2004  ;   134.000;29   ;     ;01   ;   295.000;02   ;     ;01   ;
11.2004  ;    53.600;28   ;     ;01   ;   183.000;05   ;     ;01   ;
12.2004  ;    59.700;01   ;     ;01   ;    98.600;20   ;     ;01   ;
01.2005  ;    35.700;31   ;     ;01   ;    72.800;01   ;     ;01   ;
02.2005  ;    24.700;28   ;     ;01   ;    35.300;01   ;     ;01   ;
03.2005  ;    24.800;01   ;     ;01   ;    36.700;31   ;     ;01   ;
