Дата      ;Толщина;Высота ;Место  ;
          ;льда   ;снега  ;измер. ;
10.11.2002;       ;       ;01     ;
15.11.2002; 26    ;  2    ;01     ;
20.11.2002; 36    ;  5    ;01     ;
25.11.2002;       ;       ;01     ;
30.11.2002; 40    ;  8    ;01     ;
05.12.2002; 51    ; 18    ;01     ;
10.12.2002; 65    ;       ;01     ;
15.12.2002; 70    ;       ;01     ;
20.12.2002;       ;       ;01     ;
25.12.2002;       ;       ;01     ;
31.12.2002;       ;       ;01     ;
15.04.2003;       ;       ;01     ;
20.04.2003;       ;       ;01     ;
25.04.2003;       ;       ;01     ;
30.04.2003;       ;       ;01     ;
10.11.2003;       ;       ;01     ;
15.11.2003;       ;       ;01     ;
20.11.2003; 18    ;       ;01     ;
25.11.2003;       ;       ;01     ;
30.11.2003; 22    ;       ;01     ;
05.12.2003;       ;       ;01     ;
10.12.2003; 29    ;  5    ;01     ;
15.12.2003;       ;       ;01     ;
20.12.2003; 33    ;  8    ;01     ;
25.12.2003;       ;       ;01     ;
31.12.2003; 57    ; 15    ;01     ;
05.01.2004;       ;       ;01     ;
10.01.2004; 43    ; 15    ;01     ;
15.01.2004;       ;       ;01     ;
20.01.2004; 51    ; 15    ;01     ;
25.01.2004;       ;       ;01     ;
31.01.2004; 62    ;       ;01     ;
05.02.2004;       ;       ;01     ;
10.02.2004; 89    ;       ;01     ;
15.02.2004;       ;       ;01     ;
20.02.2004;103    ;       ;01     ;
25.02.2004;       ;       ;01     ;
29.02.2004;113    ;       ;01     ;
05.03.2004;       ;       ;01     ;
10.03.2004;150    ;       ;01     ;
15.03.2004;       ;       ;01     ;
20.03.2004;160    ;       ;01     ;
25.03.2004;       ;       ;01     ;
31.03.2004;162    ;       ;01     ;
05.04.2004;       ;       ;01     ;
10.04.2004;151    ;  2    ;01     ;
15.04.2004;       ;       ;01     ;
20.04.2004;       ;       ;01     ;
25.04.2004;       ;       ;01     ;
20.11.2004;  8    ;       ;01     ;
25.11.2004;       ;       ;01     ;
30.11.2004; 27    ;       ;01     ;
05.12.2004;       ;       ;01     ;
10.12.2004; 36    ;  4    ;01     ;
15.12.2004;       ;       ;01     ;
20.12.2004; 50    ;  6    ;01     ;
25.12.2004;       ;       ;01     ;
31.12.2004; 59    ;  6    ;01     ;
05.01.2005;       ;       ;01     ;
10.01.2005; 61    ;  8    ;01     ;
15.01.2005;       ;       ;01     ;
20.01.2005; 65    ; 10    ;01     ;
25.01.2005;       ;       ;01     ;
31.01.2005; 66    ; 12    ;01     ;
05.02.2005;       ;       ;01     ;
10.02.2005; 66    ; 15    ;01     ;
15.02.2005;       ;       ;01     ;
20.02.2005; 68    ; 15    ;01     ;
25.02.2005;       ;       ;01     ;
28.02.2005; 71    ; 15    ;01     ;
05.03.2005;       ;       ;01     ;
10.03.2005; 75    ; 15    ;01     ;
15.03.2005;       ;       ;01     ;
20.03.2005; 78    ; 10    ;01     ;
25.03.2005;       ;       ;01     ;
31.03.2005; 78    ; 10    ;01     ;
05.04.2005;       ;       ;01     ;
10.04.2005; 79    ;       ;01     ;
15.04.2005;       ;       ;01     ;
20.04.2005; 73    ;       ;01     ;
25.04.2005;       ;       ;01     ;
30.04.2005;       ;       ;01     ;
05.05.2005;       ;       ;01     ;
15.11.2005;       ;       ;01     ;
20.11.2005;  8    ;  3    ;01     ;
25.11.2005;       ;       ;01     ;
30.11.2005; 14    ;  7    ;01     ;
05.12.2005;       ;       ;01     ;
10.12.2005; 24    ; 15    ;01     ;
15.12.2005;       ;       ;01     ;
20.12.2005; 28    ; 15    ;01     ;
25.12.2005;       ;       ;01     ;
31.12.2005; 34    ; 15    ;01     ;
05.01.2006;       ;       ;01     ;
10.01.2006; 39    ; 14    ;01     ;
15.01.2006;       ;       ;01     ;
20.01.2006; 43    ; 15    ;01     ;
25.01.2006;       ;       ;01     ;
31.01.2006; 51    ; 15    ;01     ;
05.02.2006;       ;       ;01     ;
10.02.2006; 56    ; 14    ;01     ;
15.02.2006;       ;       ;01     ;
20.02.2006; 67    ; 11    ;01     ;
25.02.2006;       ;       ;01     ;
