Дата      ;Толщина;Высота ;Место  ;
          ;льда   ;снега  ;измер. ;
05.01.2000;       ;       ;01     ;
10.01.2000; 60    ; 24    ;01     ;
15.01.2000;       ;       ;01     ;
20.01.2000; 65    ; 22    ;01     ;
25.01.2000;       ;       ;01     ;
31.01.2000; 74    ; 21    ;01     ;
05.02.2000;       ;       ;01     ;
10.02.2000; 76    ; 19    ;01     ;
15.02.2000;       ;       ;01     ;
20.02.2000; 77    ; 24    ;01     ;
25.02.2000;       ;       ;01     ;
29.02.2000; 78    ; 22    ;01     ;
05.03.2000;       ;       ;01     ;
10.03.2000; 79    ; 29    ;01     ;
15.03.2000; 79    ; 24    ;01     ;
20.03.2000; 78    ; 21    ;01     ;
25.03.2000; 78    ; 23    ;01     ;
31.03.2000; 76    ; 20    ;01     ;
05.04.2000; 75    ; 19    ;01     ;
10.04.2000; 73    ; 16    ;01     ;
15.04.2000; 70    ; 14    ;01     ;
20.04.2000; 65    ;  2    ;01     ;
25.04.2000;       ;       ;01     ;
15.11.2000;       ;       ;01     ;
20.11.2000; 18    ;  2    ;01     ;
25.11.2000;       ;       ;01     ;
30.11.2000; 46    ;  3    ;01     ;
05.12.2000;       ;       ;01     ;
10.12.2000; 49    ;  8    ;01     ;
15.12.2000;       ;       ;01     ;
20.12.2000; 65    ;  7    ;01     ;
25.12.2000;       ;       ;01     ;
31.12.2000; 74    ;  7    ;01     ;
05.01.2001;       ;       ;01     ;
10.01.2001; 79    ; 14    ;01     ;
15.01.2001; 81    ; 19    ;01     ;
20.01.2001; 82    ; 21    ;01     ;
31.01.2001; 85    ; 21    ;01     ;
05.02.2001;       ;       ;01     ;
10.02.2001; 88    ; 23    ;01     ;
15.02.2001;       ;       ;01     ;
20.02.2001; 90    ; 24    ;01     ;
25.02.2001;       ;       ;01     ;
28.02.2001; 93    ; 25    ;01     ;
05.03.2001; 95    ; 27    ;01     ;
10.03.2001; 97    ; 37    ;01     ;
15.03.2001; 99    ; 36    ;01     ;
20.03.2001; 99    ; 56    ;01     ;
25.03.2001; 99    ; 55    ;01     ;
31.03.2001; 98    ; 44    ;01     ;
05.04.2001; 97    ; 45    ;01     ;
10.04.2001; 95    ; 32    ;01     ;
15.04.2001; 90    ; 25    ;01     ;
20.04.2001; 83    ; 12    ;01     ;
25.04.2001; 74    ;  0    ;01     ;
10.11.2001;       ;       ;01     ;
15.11.2001;       ;       ;01     ;
20.11.2001; 17    ;  5    ;01     ;
25.11.2001; 22    ;  4    ;01     ;
30.11.2001; 27    ;  5    ;01     ;
05.12.2001; 32    ;  5    ;01     ;
10.12.2001; 32    ;  5    ;01     ;
15.12.2001; 37    ;  5    ;01     ;
20.12.2001; 46    ;  3    ;01     ;
25.12.2001; 50    ;  3    ;01     ;
31.12.2001; 54    ;  5    ;01     ;
05.01.2002; 59    ;  5    ;01     ;
10.01.2002; 65    ;  7    ;01     ;
15.01.2002;       ;       ;01     ;
20.01.2002; 73    ;  7    ;01     ;
31.01.2002; 79    ; 13    ;01     ;
05.02.2002;       ;       ;01     ;
10.02.2002; 79    ; 15    ;01     ;
15.02.2002;       ;       ;01     ;
20.02.2002; 80    ; 17    ;01     ;
25.02.2002;       ;       ;01     ;
28.02.2002; 80    ; 17    ;01     ;
05.03.2002; 80    ; 17    ;01     ;
10.03.2002; 78    ; 17    ;01     ;
15.03.2002; 75    ; 16    ;01     ;
20.03.2002; 73    ; 15    ;01     ;
25.03.2002; 72    ; 15    ;01     ;
31.03.2002; 70    ; 17    ;01     ;
05.04.2002; 65    ;  5    ;01     ;
10.04.2002; 62    ;  3    ;01     ;
15.04.2002;       ;       ;01     ;
20.04.2002; 50    ;  4    ;01     ;
05.11.2002;       ;       ;01     ;
10.11.2002;       ;       ;01     ;
15.11.2002;       ;       ;01     ;
20.11.2002; 20    ;  6    ;01     ;
25.11.2002; 22    ;  6    ;01     ;
30.11.2002; 27    ; 11    ;01     ;
05.12.2002;       ;       ;01     ;
10.12.2002; 37    ;  8    ;01     ;
15.12.2002;       ;       ;01     ;
20.12.2002; 50    ;  7    ;01     ;
25.12.2002;       ;       ;01     ;
31.12.2002; 62    ;  6    ;01     ;
05.01.2003;       ;       ;01     ;
10.01.2003; 67    ; 10    ;01     ;
15.01.2003;       ;       ;01     ;
20.01.2003; 76    ; 10    ;01     ;
25.01.2003;       ;       ;01     ;
31.01.2003; 78    ; 20    ;01     ;
05.02.2003;       ;       ;01     ;
10.02.2003; 82    ; 15    ;01     ;
15.02.2003;       ;       ;01     ;
20.02.2003; 87    ; 19    ;01     ;
25.02.2003;       ;       ;01     ;
