Месяц.год;Расход    ;День ;День ;Число;Расход    ;День ;День ;Число;
         ;минимал.  ;1-й  ;посл.;случ.;максимал. ;1-й  ;посл.;случ.;
01.2000  ;     0.087;31   ;     ;01   ;     0.600;01   ;     ;01   ;
02.2000  ;     0.095;01   ;     ;01   ;     0.170;10   ;     ;01   ;
03.2000  ;     0.062;10   ;     ;01   ;     0.170;31   ;     ;01   ;
04.2000  ;     0.220;02   ;     ;01   ;   115.000;27   ;     ;01   ;
05.2000  ;     3.990;22   ;     ;01   ;    44.300;01   ;     ;01   ;
06.2000  ;     0.860;30   ;     ;01   ;    15.200;01   ;     ;01   ;
07.2000  ;     0.500;16   ;     ;01   ;    65.100;31   ;     ;01   ;
08.2000  ;     4.170;21   ;     ;01   ;   325.000;02   ;     ;01   ;
09.2000  ;     7.290;30   ;     ;01   ;   125.000;04   ;     ;01   ;
10.2000  ;     4.470;28   ;29   ;02   ;    49.700;12   ;     ;01   ;
11.2000  ;     1.560;30   ;     ;01   ;     6.850;08   ;     ;01   ;
12.2000  ;     0.850;31   ;     ;01   ;     1.690;10   ;     ;01   ;
01.2001  ;     0.093;31   ;     ;01   ;     0.840;01   ;     ;01   ;
02.2001  ;     0.024;19   ;21   ;03   ;     0.087;01   ;     ;01   ;
03.2001  ;     0.072;01   ;     ;01   ;     1.050;31   ;     ;01   ;
04.2001  ;     1.200;01   ;     ;01   ;   137.000;14   ;15   ;02   ;
05.2001  ;     3.350;31   ;     ;01   ;    25.400;01   ;03   ;03   ;
06.2001  ;     1.160;30   ;     ;01   ;     4.720;05   ;     ;01   ;
07.2001  ;     0.690;03   ;04   ;02   ;    22.300;10   ;     ;01   ;
08.2001  ;     1.820;27   ;     ;01   ;    67.200;06   ;     ;01   ;
09.2001  ;     0.770;12   ;30   ;19   ;     2.050;01   ;     ;01   ;
10.2001  ;     0.770;01   ;08   ;08   ;     1.610;15   ;     ;01   ;
11.2001  ;     0.370;30   ;     ;01   ;     1.400;07   ;     ;01   ;
12.2001  ;     0.100;30   ;31   ;02   ;     0.350;01   ;     ;01   ;
01.2002  ;     0.120;01   ;31   ;02   ;     0.280;10   ;     ;01   ;
02.2002  ;     0.130;01   ;02   ;02   ;     0.190;27   ;28   ;02   ;
03.2002  ;     0.200;01   ;     ;01   ;     4.170;31   ;     ;01   ;
04.2002  ;     6.950;01   ;     ;01   ;    67.900;21   ;22   ;02   ;
05.2002  ;     2.370;24   ;     ;01   ;    19.800;01   ;     ;01   ;
06.2002  ;     2.870;01   ;     ;01   ;    24.900;25   ;27   ;03   ;
07.2002  ;     1.720;16   ;     ;01   ;     7.160;01   ;     ;01   ;
